Word,中文,詞性,例句,中文說明,EN,US
a,（英文字母表的第一個字母）,noun,This concerto is in the key of A major.,這首協奏曲是 A 大調。,/ə/,/eɪ/
abandon,離棄;放棄;拋棄;遺棄,verb,We had to abandon the car.,我們不得不棄車而去。,/əˈbændən/,/əˈbændən/
abandoned,被遺棄的;遭棄用的,adjective,An abandoned baby was found in a box on the hospital steps.,在醫院台階上的一個箱子裡發現了一個棄嬰。,/əˈbændənd/,/əˈbændənd/
ability,（體力或智力方面的）能力;才能，才智,noun,There's no doubting her ability.,她的能力毋庸置疑。,/əˈbɪləti/,/əˈbɪləti/
able,她能應付這項工作嗎？,adjective,Will she be able to cope with the work?,她能應付這項工作嗎？,/ˈeɪbl/,/ˈeɪbl/
about,在…方面；有關，關於，涉及,preposition,He's always going on about what a great job he's got.,他總是喋喋不休地炫耀他的工作有多麼好。,/əˈbaʊt/,/əˈbaʊt/
above,在（或向）…上面；在（或向）…較高處,adverb,There's a mirror above the sink.,洗碗槽上方有面鏡子。,/əˈbʌv/,/əˈbʌv/
abroad,在國外;到國外,adverb,We always go abroad in the summer.,我們夏天總是到國外去。,/əˈbrɔːd/,/əˈbrɔːd/
absence,缺席；缺勤；不在場,noun,A new manager was appointed during her absence.,她不在的時候任命了一位新經理。,/ˈæbsəns/,/ˈæbsəns/
absent,（尤指上課或工作）缺勤的；缺席的；不在場的,adjective,John has been absent from school/work for three days now.,約翰到現在已經曠課／曠工三天了。,/ˈæbsənt/,/ˈæbsənt/
absolute,完全的；全部的；絕對的；毋庸置疑的,adjective,a man of absolute integrity/discretion,剛正不阿／極度審慎的人,/ˈæbsəluːt/,/ˈæbsəluːt/
absolutely,完全地；絕對地,adverb,I believed/trusted him absolutely.,我絕對相信／信任他。,/ˈæbsəluːtli/,/ˈæbsəluːtli/
absorb,（尤指逐漸）吸收,verb,Plants absorb carbon dioxide.,植物吸收二氧化碳。,/əbˈzɔːb/,/əbˈzɔːrb/
abuse,（尤指為個人私利而）濫用;妄用,verb,She is continually abusing her position/authority by getting other people to do things for her.,她不斷濫用職權／權力，讓別人替她做事。,/əˈbjuːs/,/əˈbjuːs/
academic,學校的;學院的;學術的,adjective,academic subjects/qualifications/books,學科／學歷／學術書籍,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/
accent,口音，腔調;土音,noun,He's got a strong southern/Boston accent.,他說話帶有很重的南方／波士頓口音。,/ˈæksent/,/ˈæksənt/
accept,接受;收受;領受,verb,Do you accept credit cards?,你們接受信用卡付帳嗎？,/əkˈsept/,/əkˈsept/
acceptable,令人滿意的；可以接受的；可容許的；贊同的,adjective,Clearly we need to come to an arrangement that is acceptable to both parties.,顯然我們需要作出一個雙方都能接受的安排。,/əkˈseptəbl/,/əkˈseptəbl/
access,通道;途徑;（接近某地或某人的）機會（或方法）;（使用某物的）權利,noun,The only access to the village is by boat.,到那個村子去的唯一方法是乘船。,/ˈækses/,/ˈækses/
accident,意外；不測；事故,noun,Josh had an accident and spilled water all over his work.,喬希不小心把作業上灑得都是水。,/ˈæksɪdənt/,/ˈæksɪdənt/
accidental,偶然的；意外的,adjective,Reports suggest that eleven soldiers were killed by accidental fire from their own side.,報導暗示11名士兵被己方炮火誤射而喪生。,/ˌæksɪˈdentl/,/ˌæksɪˈdentl/
accidentally,偶然地；意外地,adverb,I accidentally knocked a glass over.,我不小心打翻了一個杯子。,/ˌæksɪˈdentəli/,/ˌæksɪˈdentəli/
accommodation,住處;工作場所;停留處,noun,They paid for his flights and hotel accommodation.,他們支付了他的機票和酒店住宿。,/əˌkɒməˈdeɪʃn/,/əˌkɑːməˈdeɪʃn/
accompany,陪同，陪伴;伴隨，和…一起發生（或存在）,verb,The course books are accompanied by four CDs.,這些課本配有四張光碟。,/əˈkʌmpəni/,/əˈkʌmpəni/
according to,據…所說;按…所記載,preposition,According to Sarah they're not getting on very well at the moment.,據薩拉說，他們目前關係不是太好。,,
account,帳戶，戶口,noun,I withdrew my money and asked the bank to close my account. ,我在房屋互助協會開了個帳戶。,/əˈkaʊnt/,/əˈkaʊnt/
account for,（對某人）就…作出解釋;（對某人）就…作出說明,phrasal verb,Can you account for your absence last Friday?,你能解釋一下上週五你為甚麼缺勤嗎？,,
accurate,準確的；精確的；正確的,adjective,an accurate machine,精密的機器,/ˈækjərət/,/ˈækjərət/
accurately,準確地;精確地;正確地,adverb,The plans should be drawn as accurately as possible.,應儘可能準確地制定計劃。,/ˈækjərətli/,/ˈækjərətli/
accuse,指控，控告;指責;譴責,verb,"""It wasn't my fault."" ""Don't worry, I'm not accusing you.""",「不是我的錯。」「別擔心，我不是在指責你。」,/əˈkjuːz/,/əˈkjuːz/
achieve,（尤指經過努力）完成；達到；實現,verb,"The government's training policy, he claimed, was achieving its objectives.",他稱政府制定的培訓方針即將達到預期目標。,/əˈtʃiːv/,/əˈtʃiːv/
achievement,成就，成績；功績,noun,It gives you a sense of achievement if you actually make it to the end of a very long book.,如果你能真正讀完一本厚書，就會有一種成就感。,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/
acid,酸,noun,acetic/hydrochloric/lactic acid,醋酸／鹽酸／乳酸,/ˈæsɪd/,/ˈæsɪd/
acknowledge,承認;認可…屬實或存在,verb,Historians generally acknowledge her as a genius in her field.,歷史學家公認她是該領域中的天才。,/əkˈnɒlɪdʒ/,/əkˈnɑːlɪdʒ/
a couple,幾步路,idiom,The museum is just a few steps from the hotel.,博物館距離飯店只有幾步之遙。,,
acquire,取得，獲得;購得;學到,verb,From humble beginnings he went on to acquire great wealth. ,我穿著一件新買的夾克衫。,/əˈkwaɪə(r)/,/əˈkwaɪər/
across,從一邊到另一邊;穿過;橫過,adverb,She walked across the field/road.,她穿過田野／橫過馬路。,/əˈkrɒs/,/əˈkrɔːs/
act,行為，行事；舉止，表現,verb,Don't be so silly - you're acting like a child!,別傻了——你的行為簡直就像個孩子！,/ækt/,/ækt/
action,（尤指應對問題或困難的）行動；行動過程；行為,noun,This problem calls for swift/prompt action from the government.,這個問題需要政府馬上採取行動。,/ˈækʃn/,/ˈækʃn/
active,忙於…的,adjective,"He is 90 years old, but remains active in the local community.",年紀大了，應該盡量保持身心活躍。,/ˈæktɪv/,/ˈæktɪv/
actively,積極地,adverb,He's very actively involved in (= does a lot of work for) the local party.,他積極參與地方政黨事務。,/ˈæktɪvli/,/ˈæktɪvli/
activity,活躍；繁忙；熱鬧,noun,Economists are concerned by the low level of economic activity.,經濟學家們都為經濟不景氣而擔憂。,/ækˈtɪvəti/,/ækˈtɪvəti/
actor,演員,noun,"""Who's your favourite actor?"" ""Robert de Niro.""",「你最喜歡的演員是誰？」「勞勃‧狄尼洛。」,/ˈæktə(r)/,/ˈæktər/
actress,女演員,noun,She's the highest-paid actress in Hollywood.,她是好萊塢片酬最高的女演員。,/ˈæktrəs/,/ˈæktrəs/
actual,現實的，實際的；真實的，真正的,adjective,"We had estimated about 300 visitors, but the actual number was much higher.",我們估計大約會有300名來賓，可實際人數要多得多。,/ˈæktʃuəl/,/ˈæktʃuəl/
actually,實際上；事實上；的確,adverb,I didn't actually see her - I just heard her voice.,實際上我並沒有看見她，只是聽到了她的聲音。,/ˈæktʃuəli/,/ˈæktʃuəli/
ad,廣告（advertisement的非正式說法）,noun,I often prefer the ads on TV to the actual programmes.,我常常對電視廣告比對節目本身更感興趣。,/æd/,/æd/
adapt,使適應不同情況（或用途）;改動;改造;改裝;改編,verb,Davies is busy adapting Brinkworth's latest novel for television.,大衛斯正忙著把布林克沃斯的最新小說改編成電視劇。,/əˈdæpt/,/əˈdæpt/
add,加，相加,verb,It's $45 - $50 if you add in the cost of postage.,45美元——加上郵費共50美元。,/æd/,/æd/
addition,加法,noun,Twice a week the children are tested in basic mathematical skills such as addition (= calculating the total of different numbers put together) and subtraction.,孩子每週要參加兩次加減法等基礎數學能力的測試。,/əˈdɪʃn/,/əˈdɪʃn/
additional,外加的，附加的；額外的；另外的,adjective,additional costs/problems,額外的費用／另外的問題,/əˈdɪʃənl/,/əˈdɪʃənl/
add on,增加；添加；擴建,phrasal verb,We’ve added on a couple of rooms to the house.,我們擴建了這座房子，增加了兩個房間。,,
address,地址;住址,noun,her business/home address,她的公司地址／家庭住址,/əˈdres/,/əˈdres/
add up,（把…）加起來，求（…的）和,phrasal verb,"If you add those four figures up, it comes to over £1,500.","這四個數字加起來總額超過1,500英鎊。",,
adequate,足夠的;合格的;合乎需要的,adjective,Have we got adequate food for 20 guests?,我們的食物夠招待20位客人嗎？,/ˈædɪkwət/,/ˈædɪkwət/
adequately,足夠地;合格地;合乎需要地,adverb,"While some patients can be adequately cared for at home, others are best served by care in a hospital.",雖然有些病人可以在家裡得到充分的照顧，但其他病人最好在醫院接受治療看護。,/ˈædɪkwətli/,/ˈædɪkwətli/
