Word,中文,詞性,例句,中文說明,EN,US
baby,（尤指尚未學會走路或說話的）嬰兒，嬰孩,noun,a newborn baby,新生兒,/ˈbeɪbi/,/ˈbeɪbi/
back,在原處；回到原處；恢復原狀；返回；回到以前,adverb,He looked back and saw they were following him.,他回頭看了看，發現他們正跟著他。,/bæk/,/bæk/
background,（畫、相片的）背景，襯托,noun,The artist himself did not paint the backgrounds to his pictures - they were done by his pupils.,畫中的背景不是畫家親手畫的——都是他的學生畫的。,/ˈbækɡraʊnd/,/ˈbækɡraʊnd/
back up,後備人員；候補物，替代物，備用物,noun,We're going to need some professional backup for this project.,要完成這個企劃，我們需要一些專業人員的支援。,,
backward,落後的；遲緩的；愚鈍的,adjective,"When he was a child, his teachers thought he was backward (= unable to learn as much as most children).",小時候，老師認為他愚笨遲鈍。,/ˈbækwəd/,/ˈbækwərd/
backwards,向後地,adverb,I walked backwards towards the door.,我退向門口。,/ˈbækwədz/,/ˈbækwərdz/
bacteria,向後地,noun,,,/bækˈtɪəriə/,/bækˈtɪriə/
bad,壞的，不好的；令人不悅的,adjective,Our holiday was spoiled by bad weather.,我們的假期全被壞天氣給破壞了。,/bæd/,/bæd/
badly,嚴重地,adverb,She was badly affected by the events in her childhood.,一些童年往事對她產生了嚴重的影響。,/ˈbædli/,/ˈbædli/
bad-tempered,脾氣壞的，易怒的,adjective,She's very bad-tempered in the mornings!,她上午的時候容易發脾氣！,/ˌbæd ˈtempəd/,/ˌbæd ˈtempərd/
bag,袋子,noun,a paper/plastic bag,紙／塑膠袋,/bæɡ/,/bæɡ/
baggage,行李,noun,How many pieces of baggage do you have?,你有多少件行李？,/ˈbæɡɪdʒ/,/ˈbæɡɪdʒ/
bake,烘，烤,verb,I made the icing while the cake was baking.,趁烤麵包的時候我做好了糖霜。,/beɪk/,/beɪk/
balance,平衡,noun,The toddler wobbled and lost his balance (= started to fall sideways).,那個剛學走路的小孩搖搖晃晃的，走了幾步就失去平衡。,/ˈbæləns/,/ˈbæləns/
ball,球;球狀物,noun,a beach/golf/tennis ball,沙灘球／高爾夫球／網球,/bɔːl/,/bɔːl/
ban,（尤指官方）禁止,verb,The film was banned (= the government prevented it from being shown) in several countries.,這部電影在幾個國家都禁止播放。,/bæn/,/bæn/
band,樂隊，樂團,noun,a jazz/rock band,爵士／搖滾樂團,/bænd/,/bænd/
bandage,繃帶,noun,You ought to bandage (up) that cut.,你應該用繃帶把傷口包紮起來。,/ˈbændɪdʒ/,/ˈbændɪdʒ/
bank,銀行,noun,The big banks have been accused of exploiting small firms.,大型銀行被指責剝削小企業。,/bæŋk/,/bæŋk/
bar,酒吧;酒吧的吧台,noun,They noticed him going into the hotel bar.,他們看見他走進飯店的酒吧裡。,/bɑː(r)/,/bɑːr/
bargain,便宜貨，廉價品,noun,This coat was half-price - a real bargain.,這件大衣是以半價購買的——真便宜。,/ˈbɑːɡən/,/ˈbɑːrɡən/
barrier,隔欄;屏障;障礙物,noun,Barriers have been erected all along the route the Pope will take.,在教宗將要經過的路上，沿途都設置了路障。,/ˈbæriə(r)/,/ˈbæriər/
base,基底，底座；底層，底部,noun,a crystal glass with a heavy base,底部厚重的水晶杯,/beɪs/,/beɪs/
based,（形容詞詞尾）指工作、生活或經商的主要地點、總部設在…的,suffix,a Manchester-based company,總部設在曼徹斯特的公司,/beɪst/,/beɪst/
base on,以…為基礎,phrasal verb,The film is based on a short story by Thomas Mann.,這齣電影是根據湯瑪斯·曼的短篇小說改編而成的。,,
basic,基礎的，基本的；根本的,adjective,I really need to get some basic financial advice.,我的確需要一些有關金融的基本建議。,/ˈbeɪsɪk/,/ˈbeɪsɪk/
basically,基本上；,adverb,"Basically, (= the most important thing is that) they want a lot more information about the project before they'll put any money into it.",基本上，他們在把錢投入這項企劃之前，想要對它有更深入的了解。,/ˈbeɪsɪkli/,/ˈbeɪsɪkli/
basis,基礎，根據,noun,This document will form the basis for our discussion.,這份文件將是我們討論的基礎。,/ˈbeɪsɪs/,/ˈbeɪsɪs/
bath,澡盆，浴缸,noun,Susannah has a long hot bath every evening.,蘇珊娜每天晚上都要美美地泡個熱水澡。,/bɑːθ/,/bæθ/
bathroom,浴室，洗澡間;盥洗室,noun,The house has four bedrooms and two bathrooms.,這座房子有四間臥房和兩個洗澡間。,/ˈbɑːθruːm/,/ˈbɑːθrʊm/
battery,電池，電芯,noun,a rechargeable battery,充電電池,/ˈbætri/,/ˈbætəri/
battle,戰鬥;戰役;戰爭,noun,the Battle of the Somme,索姆河戰役,/ˈbætl/,/ˈbætl/
bay,灣，海灣,noun,"We sailed into a beautiful, secluded bay.",我們駛進了一個美麗、僻靜的海灣 。,/beɪ/,/beɪ/
be,（用來說明人、事物或狀態，表示性質、狀態、工作等）,verb,He is rich.,他很富有。,/bi/,/biː/
beach,海濱，湖濱;海灘，沙灘,noun,We spent the day on the beach.,我們在海灘度過了一整天。,/biːtʃ/,/biːtʃ/
beak,（鳥類的）嘴，喙,noun,Birds use their beaks to pick up food.,鳥用嘴叼食。,/biːk/,/biːk/
bear,忍受;容忍;經受;承擔,verb,The strain must have been enormous but she bore it well.,當時壓力一定很大，但她承受住了。,/beə(r)/,/ber/
