Word,中文,詞性,例句,中文說明,EN,US
cabinet,內閣,noun,The Cabinet meet/meets every Thursday.,內閣成員每週四開會。,/ˈkæbɪnət/,/ˈkæbɪnət/
cable,（傳輸電、電話訊號等的）電纜,noun,a length of cable,一根電纜,/ˈkeɪbl/,/ˈkeɪbl/
cake,蛋糕,noun,Would you like a piece of/a slice of/some cake?,你想來塊／片／些蛋糕嗎？,/keɪk/,/keɪk/
calculate,算，計算,verb,The cost of the damage caused by the recent storms has been calculated as/at over £5 million.,據計算，近期風暴造成的損失超過了500萬英鎊。,/ˈkælkjuleɪt/,/ˈkælkjuleɪt/
calculation,算，計算,noun,The calculations that you did/made contained a few inaccuracies.,你的計算有幾處不準確。,/ˌkælkjuˈleɪʃn/,/ˌkælkjuˈleɪʃn/
call,給…取名，給…命名;稱呼,verb,They've called the twins Edward and Thomas.,他們給雙胞胎取名為愛德華和湯瑪斯。,/kɔːl/,/kɔːl/
call back,回來，返回,phrasal verb,She said she'd call back later to pick up that report.,她說她過一會兒要回來取那份報告。,,
called,給…取名，給…命名;稱呼,verb,They've called the twins Edward and Thomas.,他們給雙胞胎取名為愛德華和湯瑪斯。,,
call for,（去某地）接…,phrasal verb,I'll call for you at eight.,我八點鐘來接你。,,
call off,喝退，把…叫開;命令…停止攻擊,phrasal verb,"I shouted to him to call his dog off, but he just laughed at me.",我大聲喊他把狗叫開，可他只是嘲笑我。,,
call up,給…打電話,phrasal verb,My dad called me up to tell me the good news.,我爸爸打電話告訴了我這個好消息。,,
calm,冷靜的，鎮靜的,adjective,He has a very calm manner.,他舉止沉著鎮靜。,/kɑːm/,/kɑːm/
calm down,（使）平靜;（使）冷靜;（使）鎮靜,phrasal verb,She sat down and took a few deep breaths to calm herself down.,她坐下做了幾個深呼吸讓自己平靜下來。,,
calmly,冷靜地，鎮靜地,adverb,She reacted surprisingly calmly to the news of his death.,聽到他去世的訊息，她的反應出奇的平靜。,/ˈkɑːmli/,/ˈkɑːmli/
camera,照相機;攝像機,noun,"I forgot to take my camera with me to Portugal, so I couldn't take any photos.",我去葡萄牙時忘了帶相機，所以我一張照片都拍不到。,/ˈkæmrə/,/ˈkæmrə/
camp,營地;宿營地,noun,We pitched/set up camp (= put up our tents) by the lakeside.,我們在湖邊紮了營。,/kæmp/,/kæmp/
campaign,（尤指政治、商業或軍事的）專門活動，運動,noun,The protests were part of their campaign against the proposed building development in the area.,他們反對在該地區進行地產開發，抗議其反對運動的一部分。,/kæmˈpeɪn/,/kæmˈpeɪn/
camping,露營度假，野營度假,noun,We used to go camping in Spain when I was a child.,我小的時候我們常常去西班牙野營。,/ˈkæmpɪŋ/,/ˈkæmpɪŋ/
cancel,取消;終止;撤銷,verb,They had to cancel tomorrow's game because of the bad weather.,因為天氣太糟，他們不得不取消了明天的比賽。,/ˈkænsl/,/ˈkænsl/
cancer,癌，癌症,noun,He died of liver cancer.,他死於肝癌。,/ˈkænsə(r)/,/ˈkænsər/
candidate,申請人;候選人,noun,There are three candidates standing in the election.,有三位候選人參加競選。,/ˈkændɪdət/,/ˈkændɪdeɪt/
candy,糖果;巧克力;一塊糖（或巧克力）,noun,a candy bar,條形糖,/ˈkændi/,/ˈkændi/
cannot,（can 的否定形式）不能，不可以,modal verb,I cannot predict what will happen next year.,我預料不到明年會發生甚麼事。,/ˈkænɒt/,/ˈkænɑːt/
cap,（有帽舌的）便帽，制服帽,noun,a shower/swimming cap,浴／泳帽,/kæp/,/kæp/
capable,有能力的；熟練的；能幹的,adjective,She's a very capable woman/worker/judge.,她是個很能幹的女人／很熟練的工人／能力很強的法官。,/ˈkeɪpəbl/,/ˈkeɪpəbl/
capacity,容積，容量;生產能力;（尤指某人或某組織的）辦事能力,noun,"The stadium has a seating capacity of 50,000.",這個體育場能容納五萬人。,/kəˈpæsəti/,/kəˈpæsəti/
capital,首都;首府;省會,noun,Australia's capital city is Canberra.,澳大利亞的首都是坎培拉。,/ˈkæpɪtl/,/ˈkæpɪtl/
captain,（運動隊）隊長,noun,It's unusual to have a goalkeeper as (the) captain of a football team.,讓守門員當足球隊的隊長是很少見的。,/ˈkæptɪn/,/ˈkæptɪn/
