Word,中文,詞性,例句,中文說明,EN,US
dad,爸爸，爹爹,noun,"Can you pick me up from the party tonight, Dad?",爸，今天晚上聚會後你能不能接我回家？,/dæd/,/dæd/
daily,每天地，天天地,adverb,Take the tablets twice daily.,藥片日服兩次。,/ˈdeɪli/,/ˈdeɪli/
damage,損害，危害；損壞；傷害,verb,Many buildings were badly damaged during the war.,許多建築物在戰爭中嚴重受損。,/ˈdæmɪdʒ/,/ˈdæmɪdʒ/
damp,潮濕的，濕淋淋的,adjective,The grass is still damp.,草還有些潮濕。,/dæmp/,/dæmp/
dance,跳（舞），舞蹈,verb,We danced all night.,我們跳了一夜的舞。,/dɑːns/,/dæns/
dancer,舞蹈演員;跳舞者,noun,He's a dancer in the Royal Ballet.,他是皇家芭蕾舞團的舞蹈演員。,/ˈdɑːnsə(r)/,/ˈdænsər/
dancing,跳（舞），舞蹈,verb,We danced all night.,我們跳了一夜的舞。,/ˈdɑːnsɪŋ/,/ˈdænsɪŋ/
danger,危險，風險,noun,Danger! Keep out!,危險！別進來！,/ˈdeɪndʒə(r)/,/ˈdeɪndʒər/
dangerous,危險的，有威脅的;不安全的,adjective,dangerous chemicals,危險化學品,/ˈdeɪndʒərəs/,/ˈdeɪndʒərəs/
dare,敢於;膽敢，竟敢,verb,"I was going to ask if his dog was better, but I didn't dare in case she had died.",我本想問問他的狗好些沒有，可是又怕那狗已經死掉了，所以不敢問。,/deə(r)/,/der/
dark,昏暗的，黑暗的,adjective,It was too dark to see much.,光線太暗，看不清楚。,/dɑːk/,/dɑːrk/
data,資料，數據,noun,The data was/were collected by various researchers.,這些資料是由各類研究人員收集起來的。,/ˈdeɪtə/,/ˈdɑːtə/
date,日期;日子,noun,What's the date (today)?/What date is it?/What's today's date?,今天幾號？,/deɪt/,/deɪt/
date back,（時間）追溯,phrasal verb,This tradition dates back to medieval times.,這個傳統可以追溯到中世紀時期。,,
daughter,女兒,noun,Liz and Phil have a daughter and three sons.,莉茲和菲爾有一個女兒和三個兒子。,/ˈdɔːtə(r)/,/ˈdɔːtər/
day,一天，一日,noun,January has 31 days.,一月份有31天。,/deɪ/,/deɪ/
dead,死的，死亡的，去世的,adjective,She's been dead for 20 years now.,到現在她已經去世20年了。,/ded/,/ded/
deaf,耳聾的，聽不見的，失聰的,adjective,He's been totally/partially deaf since birth.,他一出生就完全失聰／有些聽力障礙。,/def/,/def/
deal,（尤指商業上的）協議，交易,noun,a business deal,商業交易,/diːl/,/diːl/
deal in,經營，經銷；買賣,phrasal verb,They mainly deal in rare books.,他們主要經營珍本圖書。,,
deal with,（尤指工作上）與…打交道，對付,phrasal verb,She's used to dealing with difficult customers.,她已經習慣了與難纏的顧客打交道。,,
dear,親愛的，心愛的;可愛的,adjective,She was a very dear friend.,她是一位非常親密的朋友。,/dɪə(r)/,/dɪr/
death,死，死亡,noun,The disease causes thousands of deaths a year.,這種疾病每年導致數千人死亡。,/deθ/,/deθ/
debate,談論，討論;爭論，辯論,noun,Education is the current focus of public debate.,教育是目前大眾談論的焦點。,/dɪˈbeɪt/,/dɪˈbeɪt/
debt,借款，欠款;債務,noun,He managed to pay off his debts in two years.,他設法在兩年內還清債務。,/det/,/det/
decay,腐蝕;（使）衰敗，（使）衰弱,verb,Sugar makes your teeth decay.,糖能引起蛀牙。,/dɪˈkeɪ/,/dɪˈkeɪ/
December,十二月,noun,My parents got married in December.,我父母是在12月結婚的。,,
decide,（尤指仔細考慮後）決定，決斷，確定,verb,They have to decide by next Friday.,他們必須在下週五前作出決定。,/dɪˈsaɪd/,/dɪˈsaɪd/
decide on,決定;選定,phrasal verb,I've decided on blue for the bathroom.,我已經決定浴室用藍色。,,
decision,決定;決策;選擇,noun,She has had to make some very difficult decisions.,她必須作出一些非常艱難的決定。,/dɪˈsɪʒn/,/dɪˈsɪʒn/
declare,宣佈;聲明;公佈,verb,They declared their support for the proposal,他們宣佈支持這個提議。,/dɪˈkleə(r)/,/dɪˈkler/
decline,（逐漸）減少，衰落，降低,verb,His interest in the project declined after his wife died.,妻子死後，他對該企劃案的興趣逐漸淡薄了。,/dɪˈklaɪn/,/dɪˈklaɪn/
decorate,裝飾，裝扮，打扮,verb,They decorated the wedding car with ribbons and flowers.,他們用絲帶和鮮花裝飾婚車。,/ˈdekəreɪt/,/ˈdekəreɪt/
decoration,裝飾，裝潢;裝飾品，裝飾物,noun,He's good at cake decoration.,他擅長做蛋糕裝飾。,/ˌdekəˈreɪʃn/,/ˌdekəˈreɪʃn/
decorative,裝飾性的，用作裝潢的,adjective,a decorative display of plants and flowers,花草裝飾展示,/ˈdekərətɪv/,/ˈdekəreɪtɪv/
decrease,（使）減少；（使）下降；（使）降低,verb,Our share of the market has decreased sharply this year.,今年我們的市場份額急劇下降。,/dɪˈkriːs/,/dɪˈkriːs/
deep,深的，向下延伸的；有…深的,adjective,a deep well/mine,深井／礦,/diːp/,/diːp/
deeply,深深地;極其，非常,adverb,I'm deeply grateful to you.,我對您深表感激。,/ˈdiːpli/,/ˈdiːpli/
defeat,擊敗，打敗，戰勝,verb,Napoleon was defeated by the Duke of Wellington at the battle of Waterloo.,拿破倫在滑鐵盧戰役中被威靈頓公爵擊敗。,/dɪˈfiːt/,/dɪˈfiːt/
