Word,中文,詞性,例句,中文說明,EN,US
each,（兩個或兩個以上物或人中的）每個，各，各自,pronoun,"When you run, each foot leaves the ground before the other comes down.",奔跑時，你的一隻腳在另一隻腳著地之前就離開了地面。,/iːtʃ/,/iːtʃ/
each other,互相,pronoun,They kept looking at each other and smiling.,他們一直微笑着著對方。,,
ear,耳，耳朵,noun,The hearing in my left ear's not so good.,我左耳聽力不是太好。,/ɪə(r)/,/ɪr/
early,早期的，初期的;在早期，在初期;提早（的），提前（的）,adjective,If you finish early you can go home.,如果提前完成你可以回家。,/ˈɜːli/,/ˈɜːrli/
earn,賺（錢）；掙得；賺得,verb,"I earn $80,000 a year.",我一年賺八萬美元。,/ɜːn/,/ɜːrn/
earth,地球;世界,noun,The earth takes approximately 3651/4 days to go round the sun.,地球圍繞太陽運轉一周大約需要365又1/4天,/ɜːθ/,/ɜːrθ/
ease,減輕；減低；緩解,verb,"To ease the problem of overcrowding, new prisons will be built.",爲了緩解監獄裡人滿爲患的情況，將修建新的監獄。,/iːz/,/iːz/
easily,容易地；輕易地；不費力地,adverb,"I can easily be home early tonight, if you want.",你想讓我回去的話，我今晚就能早早到家，完全不費力。,/ˈiːzəli/,/ˈiːzəli/
east,東;東方,noun,"The points of the compass are north, south, east, and west.",指南針上的四個方位點是北、南、東和西。,/iːst/,/iːst/
eastern,（某個地區的）東部的;來自東部的,adjective,The eastern part of the country is very mountainous.,這個國家的東部地區多山。,/ˈiːstən/,/ˈiːstərn/
easy,容易的；不費力的,adjective,an easy exam,容易的考試,/ˈiːzi/,/ˈiːzi/
eat,吃,verb,Do you eat meat?,你吃肉嗎？,/iːt/,/iːt/
eat out,比別人吃得多,verb,"Despite being super-thin, she would always out-eat her dad.",盡管超瘦，她總是比她爸爸吃得更多。,,
eat up,吃完，吃光,phrasal verb,Be a good boy and eat up your vegetables.,好孩子，乖，把蔬菜都吃了。,,
economic,經濟的;經濟上的,adjective,The country has been in a very poor economic state ever since the decline of its two major industries.,自從這個國家的兩大主要産業衰退後，其經濟一直萎靡不振。,/ˌiːkəˈnɒmɪk/,/ˌekəˈnɒmɪk/
economy,經濟;經濟制度,noun,the global economy,全球經濟,/ɪˈkɒnəmi/,/ɪˈkɑːnəmi/
edge,邊，邊緣,noun,He put pink icing around the edge of the cake.,他用粉色的糖霜沿蛋糕邊擠花。,/edʒ/,/edʒ/
edition,版本,noun,the paperback/hardback edition of the dictionary,該詞典的平裝／精裝本,/ɪˈdɪʃn/,/ɪˈdɪʃn/
editor,（書的）編輯；（電影電視的）剪輯員；（報刊的）主編,noun,She's a senior editor in the reference department of a publishing company.,她是出版社工具書室的資深編輯。,/ˈedɪtə(r)/,/ˈedɪtər/
educate,（尤指透過正規學校體系）教育，培養,verb,The form says he was educated in Africa.,表格上顯示他在非洲接受教育。,/ˈedʒukeɪt/,/ˈedʒukeɪt/
