Word,中文,詞性,例句,中文說明,EN,US
habit,習慣,noun,I always buy the same brand of toothpaste out of (= because of) habit.,我出於習慣總是買同一個牌子的牙膏。,/ˈhæbɪt/,/ˈhæbɪt/
hair,（人的）頭髮;（人或動物的）汗毛，毛髮,noun,"He's got short, dark hair.",他的頭髮短而黑。,/heə(r)/,/her/
hairdresser,理髮師，美髮師,noun,I'm going to change my hairdresser.,我要換個理髮師。,/ˈheədresə(r)/,/ˈherdresər/
half,一半，半個,noun,"""What's half of 96?"" ""48.""",「96的一半是多少？」「48。」,/hɑːf/,/hæf/
hall,大廳;走廊,noun,I left my bags in the hall.,我把袋子掉在大廳裡了。,/hɔːl/,/hɔːl/
hammer,鎚，鐵鎚,noun,She qualified for the women's hammer final.,她進入了女子鏈球的決賽。,/ˈhæmə(r)/,/ˈhæmər/
hand,手,noun,All their toys are made by hand.,他們所有的玩具都是手工製作的。,/hænd/,/hænd/
hand back,遞還,phrasal verb,"""No, I've never seen him before,"" I said, handing her back the photograph.",「不，我以前從來沒見過他，」我說著把照片交還給了她。,,
hand down,（別人穿過的）舊衣服,noun,I got fed up with having to wear my sister's hand-me-downs.,我早就受夠了穿姐姐的舊衣服。,,
hand in,上交，提交,phrasal verb,Have you handed in your history essay yet?,你的歷史論文交了沒有？,,
handle,柄，把手,noun,a door handle,門把手,/ˈhændl/,/ˈhændl/
hand out,分發，發放,phrasal verb,The teacher asked her to hand out the worksheets.,老師讓她分發活頁練習題。,,
hand over,把…交給，把…送交,phrasal verb,We were ordered to hand over our passports.,有人命令我們交出護照。,,
hand round,分發,phrasal verb,"Adam, could you hand around the cookies?",亞當，你能分發一下餅乾嗎？,,
hang,懸掛，吊；吊著,verb,A heavy gold necklace hung around her neck.,她脖子上掛著一串粗重的金項鍊。,/hæŋ/,/hæŋ/
hang about,緩慢地移動;緩慢地做,phrasal verb,Go and pack but don't hang around - we have to go in an hour.,趕快去收拾行李，別慢吞吞的——一小時後我們必須出發。,,
hang about with,與（某人）廝混,phrasal verb,I got into drugs because I was hanging around with the wrong people.,我染上了毒癮，這是因爲我與不好的傢夥混在一起。,,
hang around,緩慢地移動;緩慢地做,phrasal verb,Go and pack but don't hang around - we have to go in an hour.,趕快去收拾行李，別慢吞吞的——一小時後我們必須出發。,,
