Word,中文,詞性,例句,中文說明,EN,US
I,（英文字母表的第九個字母）,noun,I love you.,我愛你。,,
ice,冰;冰塊,noun,The pond was covered in ice all winter.,這個池塘整個冬天都結著冰。,/aɪs/,/aɪs/
ice cream,冰淇淋,noun,a tub of ice cream,一盒冰淇淋,,
idea,意見，想法，主意;計劃,noun,I've had an idea - why don't we go to the coast?,我有個主意——我們為甚麼不去海濱呢？,/aɪˈdɪə/,/aɪˈdiːə/
ideal,完美的，理想的,adjective,the ideal employer,無可挑剔的老闆,/aɪˈdiːəl/,/aɪˈdiːəl/
identify,認出，識別,verb,Even the smallest baby can identify its mother by her voice.,就連年齡最小的嬰兒也能根據聲音分辨出自己的母親。,/aɪˈdentɪfaɪ/,/aɪˈdentɪfaɪ/
identify with,認同（某人），與（某人）產生共鳴,phrasal verb,Many women of normal weight feel unable to identify with the super-thin models in fashion magazines.,許多體重正常的女性對時尚雜誌中那些超瘦的模特兒無法產生認同感。,,
identity,身份；本身；特性,noun,The man's identity was being kept secret while he was helping police with their enquiries.,這個男子在協助警方調查時，他的身份是保密的。,/aɪˈdentəti/,/aɪˈdentəti/
i.e.,也就是，即,idiom,"The hotel is closed during low season, i.e. from October to March.",這家旅館在淡季，即從10月到3月，關門停業。,,
if,假如，如果,conjunction,I'll pay you double if you get the work finished by Friday.,如果你週五前完工，我付你雙倍的報酬。,/ɪf/,/ɪf/
ignore,不理睬，忽視,verb,She can be really irritating but I try to ignore her.,她有時會特別煩人，不過我盡量不去理會她。,/ɪɡˈnɔː(r)/,/ɪɡˈnɔːr/
ill,生病的，不舒服的,adjective,I felt ill so I went home.,我感到不舒服，於是就回家了。,/ɪl/,/ɪl/
illegal,非法的，違法的,adjective,a campaign to stop the illegal sale of cigarettes to children under 16,禁止向16歲以下兒童非法銷售香煙的運動,/ɪˈliːɡl/,/ɪˈliːɡl/
illegally,非法地; 違法地,adverb,They entered the country illegally.,他們是非法入境的。,/ɪˈliːɡəli/,/ɪˈliːɡəli/
illness,（身體或精神上的）疾病,noun,He died at home after a long illness.,久病之後他在家裡死去。,/ˈɪlnəs/,/ˈɪlnəs/
illustrate,給（書籍、雜誌等）畫插圖,verb,a beautifully illustrated book/old manuscript,配有精美插圖的書／舊手稿,/ˈɪləstreɪt/,/ˈɪləstreɪt/
image,（自己頭腦中的）形象，印象,noun,I have an image in my mind of how I want the garden to be.,我對花園該是甚麼樣子心裡有數。,/ˈɪmɪdʒ/,/ˈɪmɪdʒ/
imaginary,想像中的；虛構的,adjective,As a child I had an imaginary friend.,小時候我有個想像中的朋友。,/ɪˈmædʒɪnəri/,/ɪˈmædʒɪneri/
imagination,想像力,noun,My younger son has a very vivid (= active) imagination.,我的小兒子想像力很豐富。,/ɪˌmædʒɪˈneɪʃn/,/ɪˌmædʒɪˈneɪʃn/
imagine,想像;設想,verb,Imagine Robert Redford when he was young - that's what John looks like.,想像一下勞勃‧瑞福年輕時的樣子——那就是約翰的模樣。,/ɪˈmædʒɪn/,/ɪˈmædʒɪn/
immediate,立即的，立刻的,adjective,We must make an immediate response.,我們必須立即作出反應。,/ɪˈmiːdiət/,/ɪˈmiːdiət/
immediately,立即，馬上,adverb,We really ought to leave immediately.,我們真的應該馬上就走。,/ɪˈmiːdiətli/,/ɪˈmiːdiətli/
immoral,不道德的，道德敗壞的,adjective,an immoral act,不道德的舉動,/ɪˈmɒrəl/,/ɪˈmɔːrəl/
impact,衝擊（力）;撞擊（力）,noun,The impact of the crash reduced the car to a third of its original length.,撞車時的衝擊力使車身變形，僅剩原來長度的三分之一。,/ˈɪmpækt/,/ˈɪmpækt/
impatient,不耐煩的，無耐心的,adjective,"He's a good teacher, but inclined to be a bit impatient with slow learners.",他是個好老師，但對學得慢的學生卻總有些不耐煩。,/ɪmˈpeɪʃnt/,/ɪmˈpeɪʃnt/
implication,含意;暗指，暗示,noun,"From what she said, the implication was that they were splitting up.",她的話暗示他們將要分手。,/ˌɪmplɪˈkeɪʃn/,/ˌɪmplɪˈkeɪʃn/
imply,暗指，暗示,verb,Are you implying (that) I'm fat?,你是在暗示我長得胖嗎？,/ɪmˈplaɪ/,/ɪmˈplaɪ/
import,進口,verb,We import a large number of cars from Japan.,我們從日本進口大量的汽車。,/ˈɪmpɔːt/,/ˈɪmpɔːrt/
importance,重要性,noun,The health report stresses the importance of fresh food in a diet.,健康報告強調了飲食中新鮮食物的重要性。,/ɪmˈpɔːtns/,/ɪmˈpɔːrtns/
important,必需的；重要的；珍貴的,adjective,I think his career is more important to him than I am.,我覺得對他而言，我不如他的事業重要。,/ɪmˈpɔːtnt/,/ɪmˈpɔːrtnt/
importantly,重要的是,adverb,"If we served more soft drinks, there would be fewer hangovers and, more importantly, fewer drink-driving incidents.",戴夫仍然非常害羞，但重要的是，在需要的時候，他敢於維護自己的權利。,/ɪmˈpɔːtntli/,/ɪmˈpɔːrtntli/
impose,推行；強制實行,verb,Very high taxes have recently been imposed on cigarettes.,最近對香煙開徵很高的稅。,/ɪmˈpəʊz/,/ɪmˈpəʊz/
impossible,（行動或事件）不可能的，辦不到的,adjective,It was impossible to sleep because of the noise.,噪音太大，無法入睡。,/ɪmˈpɒsəbl/,/ɪmˈpɑːsəbl/
impress,給…留下深刻印象;使欽佩,verb,I remember when I was a child being very impressed with how many toys she had.,我記得小時候我對她有那麼多的玩具羨慕不已。,/ɪmˈpres/,/ɪmˈpres/
impression,印象;感想,noun,I didn't get much of an impression of the place because it was dark when we drove through it.,我對這個地方印象不深，因為我們開車駛過時天已經黑了。,/ɪmˈpreʃn/,/ɪmˈpreʃn/
impressive,（因特殊、重要或巨大而）給人留下深刻印象的,adjective,That was an impressive performance from such a young tennis player.,這麼年輕的網球選手居然打得那麼好。,/ɪmˈpresɪv/,/ɪmˈpresɪv/
improve,改進，改善,verb,He did a lot to improve conditions for factory workers.,他為改善工廠工人的工作條件做了許多工作。,/ɪmˈpruːv/,/ɪmˈpruːv/
improvement,改進，改善,noun,a slight improvement in the economy,經濟上稍有起色,/ɪmˈpruːvmənt/,/ɪmˈpruːvmənt/
in,在（…）裡面，在（…）內,preposition,Is Mark still in bed?,馬克還在睡覺嗎？,/ɪn/,/ɪn/
inability,無能，無力,noun,Inability to use a computer is a serious disadvantage when you are applying for jobs.,不會使用電腦在求職時是個十分不利的條件。,/ˌɪnəˈbɪləti/,/ˌɪnəˈbɪləti/
inch,英寸（約合2.54厘米，有時用符號''表示）,noun,Twelve inches are equal to one foot.,12英寸等於1英尺。,/ɪntʃ/,/ɪntʃ/
incident,（不愉快或不尋常的）事件,noun,an isolated/serious/unfortunate incident,獨立／嚴重／不幸的事件,/ˈɪnsɪdənt/,/ˈɪnsɪdənt/
include,包含；包括,verb,The bill includes tax and service.,帳單包括稅款和服務費。,/ɪnˈkluːd/,/ɪnˈkluːd/
including,包括…（在內）,preposition,"Eight people, including two children, were injured in the explosion.",八人在爆炸中受傷，其中包括兩名兒童。,/ɪnˈkluːdɪŋ/,/ɪnˈkluːdɪŋ/
income,收入，收益,noun,Average incomes have risen by 4.5 percent over the past year.,人均收入比去年上升了4.5%。,/ˈɪnkʌm/,/ˈɪnkəm/
increase,增大；增加；增強,verb,Incidents of armed robbery have increased over the last few years.,持械搶劫案近幾年增多了。,/ɪnˈkriːs/,/ɪnˈkriːs/
increasingly,越來越多地，不斷增加地,adverb,to be increasingly important/common,越來越重要／普遍,/ɪnˈkriːsɪŋli/,/ɪnˈkriːsɪŋli/
indeed,的確，實在,adverb,"Indeed, it could be the worst environmental disaster in Europe this century.",這確實可能是本世紀西歐最嚴重的環境災難。,/ɪnˈdiːd/,/ɪnˈdiːd/
independence,（國家的）獨立,noun,Mexico gained its independence from Spain in 1821.,墨西哥於1821年脫離西班牙獨立。,/ˌɪndɪˈpendəns/,/ˌɪndɪˈpendəns/
independent,獨立的,adjective,an independent enquiry/organization,獨立調查／機構,/ˌɪndɪˈpendənt/,/ˌɪndɪˈpendənt/
independently,獨立地,adverb,"The two scientists both made the same discovery independently, at roughly the same time.",這兩位科學家幾乎同時獨立地做出了相同的發現。,/ˌɪndɪˈpendəntli/,/ˌɪndɪˈpendəntli/
index,（書後關於主題、姓名等的）索引,noun,"Try looking up ""heart disease"" in the index.",試試在索引中尋找「心臟病」這個條目。,/ˈɪndeks/,/ˈɪndeks/
indicate,標示；表明；顯示；暗示,verb,Exploratory investigations have indicated large amounts of oil below the sea bed.,勘測調查顯示海床下有大量的石油。,/ˈɪndɪkeɪt/,/ˈɪndɪkeɪt/
