Word,中文,詞性,例句,中文說明,EN,US
jacket,短上衣;夾克,noun,a leather/denim/tweed jacket,皮／牛仔布／粗花呢夾克,/ˈdʒækɪt/,/ˈdʒækɪt/
jam,果醬,noun,strawberry/raspberry jam,草莓／覆盆子醬,/dʒæm/,/dʒæm/
January,一月,noun,Her father died in January.,她父親於一月去世了。,,
jealous,妒忌的；好妒忌的；吃醋的,adjective,a jealous husband/wife,吃醋的丈夫／妻子,/ˈdʒeləs/,/ˈdʒeləs/
jeans,牛仔褲,noun,jeans and a T-shirt,牛仔褲和T恤,/dʒiːnz/,/dʒiːnz/
jelly,果醬,noun,a peanut butter and jelly sandwich,花生醬和果醬三明治,/ˈdʒeli/,/ˈdʒeli/
jewellery,（總稱）珠寶，首飾,noun,a jewellery box,首飾盒,/ˈdʒuːəlri/,/ˈdʒuːəlri/
job,工作;職業;職位,noun,a temporary/permanent job,臨時的／固定的工作,/dʒɒb/,/dʒɑːb/
join,連接；接合,verb,A long suspension bridge joins the two islands.,一座長長的吊橋將兩座島嶼連接起來。,/dʒɔɪn/,/dʒɔɪn/
join in,參加,phrasal verb,We only need one more player for this game - can you persuade your sister to join in?,我們這項比賽只差一個選手——你能說服你姐姐參加嗎？,,
joint,共有的，共用的;共同的,adjective,a joint bank account,共有的銀行戶頭,/dʒɔɪnt/,/dʒɔɪnt/
jointly,連帶地|共同地,adverb,The Channel Tunnel was jointly funded by the French and British.,英吉利海峽隧道是由英法兩國共同出資（修建）的。,/ˈdʒɔɪntli/,/ˈdʒɔɪntli/
joke,笑話;玩笑,noun,Did I tell you the joke about the chicken crossing the road?,我跟你講過小雞過馬路的笑話嗎？,/dʒəʊk/,/dʒəʊk/
journalist,新聞記者;報紙撰稿人;廣播員,noun,a freelance political journalist,政論文章自由撰稿人,/ˈdʒɜːnəlɪst/,/ˈdʒɜːrnəlɪst/
journey,（尤指搭乘交通工具的）旅行，行程,noun,I love going on long journeys.,我喜歡長途旅行。,/ˈdʒɜːni/,/ˈdʒɜːrni/
joy,歡欣，高興，喜悅,noun,They were filled with joy when their first child was born.,第一個孩子出生時，他們滿心歡喜。,/dʒɔɪ/,/dʒɔɪ/
judge,法官;審判員,noun,a British high-court judge,英國高等法院法官,/dʒʌdʒ/,/dʒʌdʒ/
judgement,判斷力;識別力,noun,to show good/sound/poor judgment,表現出良好／出色／不良的判斷力,/ˈdʒʌdʒmənt/,/ˈdʒʌdʒmənt/
juice,（水果、蔬菜的）汁，液,noun,orange/lemon/grapefruit/carrot juice,柳橙／檸檬／葡萄／胡蘿蔔汁,/dʒuːs/,/dʒuːs/
July,七月,noun,The film festival is in July.,電影節是在七月份。,,
jump,跳，躍;跳躍,verb,The children were jumping up and down with excitement.,孩子都興奮地跳來跳去。,/dʒʌmp/,/dʒʌmp/
June,六月,noun,A lot of people get married in June.,許多人在六月份結婚。,,
junior,地位（或等級）較低者；年資較淺者，晚輩,noun,an office junior,下級軍官,/ˈdʒuːniə(r)/,/ˈdʒuːniər/
just,此時;很快;剛才,adverb,"""Where are you, Jim?"" ""I'm just coming.""",「吉姆，你在哪裡？」「我現在就來。」,/dʒʌst/,/dʒʌst/
justice,公正，公平；正義,noun,There's no justice in the world when people can be made to suffer like that.,如果人們被迫遭受這樣的痛苦，那麼世上就沒有公平正義可言了。,/ˈdʒʌstɪs/,/ˈdʒʌstɪs/
justified,有正當理由的,adjective,I accept that the criticism is completely justified.,我承認這個批評是完全正當的。,/ˈdʒʌstɪfaɪd/,/ˈdʒʌstɪfaɪd/
justify,為…辯護;證明…正當（或有理、正確）;是…的正當理由,verb,I can't really justify taking another day off work.,我真的找不出理由再多休一天假了。,/ˈdʒʌstɪfaɪ/,/ˈdʒʌstɪfaɪ/
