Word,中文,詞性,例句,中文說明,EN,US
lab,實驗室;實驗大樓（同 laboratory）,noun,a science lab,科學實驗室,/læb/,/læb/
label,標籤，標牌,noun,Remember to put some address labels on the suitcases.,別忘了把地址標籤貼在行李箱上。,/ˈleɪbl/,/ˈleɪbl/
laboratory,實驗室;實驗大樓,noun,research laboratories,研究實驗室,/ləˈbɒrətri/,/ˈlæbrətɔːri/
labour,勞動;（尤指）體力勞動,noun,"The car parts themselves are not expensive, it's the labour that costs the money.",汽車零件本身並不貴，但人工費很高。,/ˈleɪbə(r)/,/ˈleɪbər/
lack,她唯一的問題是缺乏自信。,noun,Her only problem is a lack of confidence.,她唯一的問題是缺乏自信。,/læk/,/læk/
lacking,缺少，缺乏,adjective,Enthusiasm has been sadly lacking these past months at work.,在過去的這幾個月裡大家的工作熱忱嚴重不足。,/ˈlækɪŋ/,/ˈlækɪŋ/
lady,女士,noun,There's a young lady here to see you.,這裡有位年輕的女士要見你。,/ˈleɪdi/,/ˈleɪdi/
lake,湖，湖泊,noun,We used to go boating on that lake.,我們過去常去那個湖裡划船。,/leɪk/,/leɪk/
lamp,（尤指帶燈罩的）燈,noun,an electric/oil/gas lamp,電／油／煤氣燈,/læmp/,/læmp/
land,陸地，地面,noun,It is cheaper to drill for oil on land than at sea.,在陸地上鑽探石油比在海上更經濟。,/lænd/,/lænd/
landscape,鄉間，野外;（尤指鄉村的）風景，景色,noun,a rural/barren landscape,鄉村／荒原,/ˈlændskeɪp/,/ˈlændskeɪp/
lane,鄉間小路；小巷，小街，胡同,noun,He drives so fast along those narrow country lanes.,在那些狹窄的鄉間小路上他把車開得飛快。,/leɪn/,/leɪn/
language,語言,noun,She does research into how children acquire language.,她研究兒童是如何習得語言的。,/ˈlæŋɡwɪdʒ/,/ˈlæŋɡwɪdʒ/
large,大的；大規模的；大量的,adjective,a large house,大房子,/lɑːdʒ/,/lɑːrdʒ/
largely,主要地；大多；在很大程度上,adverb,a largely male company,員工大多為男性的公司,/ˈlɑːdʒli/,/ˈlɑːrdʒli/
late,末期的，晚期的；接近終了,adjective,It was late at night.,夜已經很深了。,/leɪt/,/leɪt/
later,晚些時候;過些時間,adverb,He'll be back later.,他稍後回來。,/ˈleɪtə(r)/,/ˈleɪtər/
latest,最新的;最近的;最先進的,adjective,Have you seen her latest movie?,你看過她的最新電影嗎？,/ˈleɪtɪst/,/ˈleɪtɪst/
latter,後半程的，靠後的，末尾的,adjective,Building of the new library should begin in the latter part of next year.,新圖書館的建設應該在明年下半年開工。,/ˈlætə(r)/,/ˈlætər/
laugh,（出聲地）笑，大笑,verb,They laughed at her jokes.,聽了她講的笑話他們都笑了。,/lɑːf/,/læf/
laugh at,取笑（某人），笑話（某人）,phrasal verb,I can't go into work looking like this - everyone will laugh at me.,我不能這個樣子去上班——大家會取笑我的。,,
launch,啓動儀式，發布會，發表會,noun,How much champagne will we need for the launch?,這次發表會我們需要多少香檳？,/lɔːntʃ/,/lɔːntʃ/
law,法，法律;法律制度，法律體系,noun,There are laws against drinking in the street.,有法律禁止在街上喝酒。,/lɔː/,/lɔː/
lawyer,律師,noun,I want to see my lawyer before I say anything.,我開口前要見律師。,/ˈlɔɪə(r)/,/ˈlɔɪər/
lay,放置，安放，平放,verb,She laid the baby on the bed.,她把嬰兒放在了床上。,/leɪ/,/leɪ/
layer,層；塗層,noun,the ozone layer,臭氧層,/ˈleɪə(r)/,/leə(r)/
lazy,懶的，懶惰的,adjective,Managers had complained that the workers were lazy and unreliable.,經理們抱怨工人們懶惰而且不可靠。,/ˈleɪzi/,/ˈleɪzi/
