Word,中文,詞性,例句,中文說明,EN,US
machine,機器;機械裝置,noun,The different sizes of eggs are sorted by a machine.,雞蛋由機器按大小分撿。,/məˈʃiːn/,/məˈʃiːn/
machinery,（大型的）機器;機械;（機器的）運轉部分,noun,industrial/farm machinery,工業／農業機械,/məˈʃiːnəri/,/məˈʃiːnəri/
mad,瘋的，神經錯亂的，精神失常的,adjective,You're mad to walk home alone at this time of night.,你發瘋了，晚上這個時候獨自一人走回家。,/mæd/,/mæd/
magazine,雜誌，期刊,noun,She has written articles for several women's magazines.,她為幾家女性雜誌撰稿。,/ˌmæɡəˈziːn/,/ˈmæɡəziːn/
magic,魔法;法術;巫術,noun,The group is known for its belief in witchcraft and magic.,這個組織以相信巫術和魔法而出名。,/ˈmædʒɪk/,/ˈmædʒɪk/
mail,信件，郵包;郵政（系統）,noun,She spent the morning reading and answering her mail.,她花了一個上午處理信件。,/meɪl/,/meɪl/
main,主要的；最重要的；最大的,adjective,The main thing is not to worry.,最重要的是不要擔心。,/meɪn/,/meɪn/
mainly,通常地；主要地；大部分地,adverb,I mainly go to bed around midnight.,我通常在午夜前後去睡覺。,/ˈmeɪnli/,/ˈmeɪnli/
maintain,維持;保持,verb,The army has been brought in to maintain order in the region.,軍隊已調配到這個地區來維持秩序。,/meɪnˈteɪn/,/meɪnˈteɪn/
major,較重要的；主要的；重大的,adjective,All of her major plays have been translated into English.,她的主要劇本都被譯成了英文。,/ˈmeɪdʒə(r)/,/ˈmeɪdʒər/
majority,大多數，大部分,noun,The majority of the employees have university degrees.,大部分員工都有大學文憑。,/məˈdʒɒrəti/,/məˈdʒɔːrəti/
make,做;製作;製造,verb,Do you want me to make some coffee?,我煮些咖啡好嗎？,/meɪk/,/meɪk/
make into,把…變成,phrasal verb,They've made the spare room into an office.,他們已把空置的房間改成辦公室。,,
make up,（常為騙人而）編造（藉口、故事等）,phrasal verb,I made up an excuse about having to look after the kids.,我編了個藉口，說必須照顧小孩。,,
make-up,（常為騙人而）編造（藉口、故事等）,phrasal verb,I made up an excuse about having to look after the kids.,我編了個藉口，說必須照顧小孩。,,
make up for,補償，彌補,phrasal verb,No amount of money can make up for the death of a child.,無論多少錢都無法補償孩子的死。,,
male,男（性）的；男子的；雄性的，公的,adjective,a male giraffe,雄性長頸鹿,/meɪl/,/meɪl/
mall,（車輛不得入內的）商業街，購物中心,noun,There are plans to build a new mall in the middle of town.,計劃在市中心興建一個新的購物中心。,/mɔːl/,/mæl/
man,成年男子，男人,noun,a young/tall man,年輕／高個子的男子,/mæn/,/mæn/
manage,成功做到，順利完成（尤指困難之事）,verb,Did you manage to get any bread?,你弄到麵包了嗎？,/ˈmænɪdʒ/,/ˈmænɪdʒ/
management,管理；經營,noun,The company has suffered from several years of bad management.,公司數年來一直經營不善。,/ˈmænɪdʒmənt/,/ˈmænɪdʒmənt/
manager,經理;主管,noun,a bank manager,銀行經理,/ˈmænɪdʒə(r)/,/ˈmænɪdʒər/
manner,方式，方法,noun,She stared at me in an accusing manner.,她以責備的目光注視著我。,/ˈmænə(r)/,/ˈmænər/
manufacture,（通常指工廠利用機械大量）製造，（大批）生產,verb,He works for a company that manufactures car parts.,他在一家生產汽車零件的公司工作。,/ˌmænjuˈfæktʃə(r)/,/ˌmænjuˈfæktʃər/
manufacturer,製造商，生產商（生產大批商品的企業）,noun,Germany is a major manufacturer of motor cars.,德國是汽車生產大國。,/ˌmænjuˈfæktʃərə(r)/,/ˌmænjuˈfæktʃərər/
manufacturing,製造業（生產大批商品的行業）,noun,car manufacturing,汽車製造,/ˌmænjuˈfæktʃərɪŋ/,/ˌmænjuˈfæktʃərɪŋ/
many,許多（主要用於否定句和疑問句中，或者帶有「too」、「so」和「as」 等的句子中）,determiner,I don't have many clothes.,我衣服不多。,/ˈmeni/,/ˈmeni/
map,地圖,noun,a map of the world,世界地圖,/mæp/,/mæp/
march,抗議遊行，示威遊行,noun,She's going on a march on Saturday in protest over the closure of the hospital.,她將在週六參加一個反對關閉醫院的示威遊行。,/mɑːtʃ/,/mɑːrtʃ/
March,三月,noun,,,,
mark,痕跡;汙點;疤痕,noun,There were dirty marks on her trousers where she had wiped her hands.,她褲子上抹過手的地方留下了汙漬。,/mɑːk/,/mɑːrk/
market,買方;市場,noun,Are you sure there's a market for the product?,你肯定這種產品有市場嗎？,/ˈmɑːkɪt/,/ˈmɑːrkɪt/
marketing,促銷;推銷;行銷,noun,a career in marketing,行銷職業生涯,/ˈmɑːkɪtɪŋ/,/ˈmɑːrkɪtɪŋ/
marriage,婚姻;結婚;婚禮,noun,They had a long and happy marriage.,他們的婚姻長久而幸福。,/ˈmærɪdʒ/,/ˈmærɪdʒ/
married,已婚的;有配偶的,adjective,a married couple,一對夫妻,/ˈmærid/,/ˈmærid/
marry,娶;嫁;（和…）結婚,verb,Men tend to marry later than women.,男性成婚往往晚於女性。,/ˈmæri/,/ˈmæri/
mass,大量的；大規模的；大批的,adjective,weapons of mass destruction,大規模毀滅性武器,/mæs/,/mæs/
massive,巨大的；大量的,adjective,They have a massive house.,他們有一座很大的房子。,/ˈmæsɪv/,/ˈmæsɪv/
master,（動物的）主人,noun,"With careful training, a dog will obey its master completely.",經過精心訓練的狗會完全服從主人的命令。,/ˈmɑːstə(r)/,/ˈmæstər/
match,比賽，競賽,noun,a tennis match,網球比賽,/mætʃ/,/mætʃ/
matching,（顏色或樣式）相同的，相配的,adjective,a green dress with matching green handbag,一條綠裙子和與之搭配的綠手袋,/ˈmætʃɪŋ/,/ˈmætʃɪŋ/
match up,相一致,phrasal verb,Their accounts of what happened that evening don't match up.,他們對那晚所發生的事情說法不一致。,,
mate,（動物的）配偶,noun,Peacocks use their beautiful tails to attract mates.,孔雀用美麗的尾巴來吸引配偶。,/meɪt/,/meɪt/
material,材料，原料,noun,"building materials, such as stone",建築材料，如石頭,/məˈtɪəriəl/,/məˈtɪriəl/
