Word,中文,詞性,例句,中文說明,EN,US
obey,服從，順從；遵守，遵循,verb,The soldiers refused to obey (orders).,士兵們拒不服從（命令）。,/əˈbeɪ/,/əˈbeɪ/
object,（可看見或可觸摸到的）實物，物體,noun,a solid/material/physical object,固體的／有形的／有形的實物,/ˈɒbdʒɪkt/,/ˈɒbdʒekt/
objective,目標；目的,noun,Her main/prime objective now is simply to stay in power.,她現在的主要目標就是繼續掌權。,/əbˈdʒektɪv/,/əbˈdʒektɪv/
observation,觀察;觀測;監視,noun,close observation of nature/human nature/animal behaviour,對自然／人性／動物行為的認真觀察,/ˌɒbzəˈveɪʃn/,/ˌɑːbzərˈveɪʃn/
observe,觀察;觀測;監視,verb,"The role of scientists is to observe and describe the world, not to try to control it.",科學家的任務是觀察和描述這個世界，而不是試圖控制它。,/əbˈzɜːv/,/əbˈzɜːrv/
obtain,得到，獲得,verb,to obtain permission,獲得許可,/əbˈteɪn/,/əbˈteɪn/
obvious,清楚的；顯然的，明顯的；明白的,adjective,It's obvious (that) she doesn't like him.,顯然她不喜歡他。,/ˈɒbviəs/,/ˈɑːbviəs/
obviously,清楚地；明白地；顯而易見地,adverb,He was in tears and obviously very upset.,他淚流滿面，顯然很難過。,/ˈɒbviəsli/,/ˈɑːbviəsli/
occasion,（尤指某事發生的）時刻，時候,noun,We met on several occasions to discuss the issue.,我們幾次會面討論這個問題。,/əˈkeɪʒn/,/əˈkeɪʒn/
occasionally,偶爾，間或;有時,adverb,I see him occasionally in town.,我偶爾在城裡見到他。,/əˈkeɪʒnəli/,/əˈkeɪʒnəli/
occupied,有人居住的;被佔領的，被侵佔的,adjective,occupied territory,佔領區,/ˈɒkjupaɪd/,/ˈɑːkjupaɪd/
occupy,佔有，佔用，佔據（空間或時間）,verb,The rest of the time was occupied with writing a report.,剩下的時間用來寫了份報告。,/ˈɒkjupaɪ/,/ˈɑːkjupaɪ/
occur,（尤指事故及其他意外事件）發生,verb,An accident involving over ten vehicles has occurred in the east-bound lane.,在東向車道上發生了一起涉及十多輛汽車的交通事故。,/əˈkɜː(r)/,/əˈkɜːr/
occur to,（尤指事故及其他意外事件）發生,verb,An accident involving over ten vehicles has occurred in the east-bound lane.,在東向車道上發生了一起涉及十多輛汽車的交通事故。,,
ocean,海洋，大洋;大海,noun,These mysterious creatures live at the bottom of the ocean.,這些神秘的生物居住在海底。,/ˈəʊʃn/,/ˈəʊʃn/
o’clock,（用於數字1至12後表示整點）…點鐘,adverb,It's two o'clock.,兩點鐘了。,,
October,十月,noun,We have a meeting in October that you are welcome to attend.,我們在10月份有個會，歡迎你來參加。,,
odd,奇怪的，古怪的；異常的；出人意料的,adjective,Her father was an odd man.,她父親是個古怪的人。,/ɒd/,/ɑːd/
oddly,奇怪地，古怪地；異常地；出人意料地,adverb,Didn't you think she was behaving very oddly at the party yesterday?,你難道不覺得她昨天在聚會上表現得很古怪嗎？,/ˈɒdli/,/ˈɑːdli/
of,（用於表示歸屬或來歷）…的，屬於,preposition,a friend of mine,我的一位朋友,/əv/,/ɒv/
off,（尤指離開當前所在地點或位置）離開，遠離,adverb,He drove off at the most incredible speed.,他以令人難以置信的速度開車走了。,/ɒf/,/ɔːf/
offence,犯罪行為;罪行,noun,a serious/minor offence,重／輕罪,/əˈfens/,/əˈfens/
offend,冒犯，得罪，惹惱,verb,I think she was offended that she hadn't been invited to the party.,沒有邀請她參加聚會，我覺得她有點生氣。,/əˈfend/,/əˈfend/
offensive,冒犯的,adjective,This programme contains language that some viewers might find offensive.,這個節目使用了某些觀眾可能覺得不快的語言。,/əˈfensɪv/,/əˈfensɪv/
offer,主動給予;主動提出;提議,verb,I feel bad that I didn't offer them any food/offer any food to them.,沒有給他們提供任何食物，我覺得很過意不去。,/ˈɒfə(r)/,/ˈɔːfər/
office,辦公室;辦公樓,noun,the director's office,主任辦公室,/ˈɒfɪs/,/ˈɑːfɪs/
officer,軍官,noun,a naval officer,海軍軍官,/ˈɒfɪsə(r)/,/ˈɑːfɪsər/
official,官員的;公職的;公務的,adjective,He visited China in his official capacity as America's trade representative.,他以美方貿易代表的身份訪問了中國。,/əˈfɪʃl/,/əˈfɪʃl/
officially,官方地,adverb,The royal engagement was announced officially this morning.,今天上午官方正式宣佈了皇室訂婚一事。,/əˈfɪʃəli/,/əˈfɪʃəli/
often,時常，經常;多次,adverb,I often see him in the garden.,我常見他在花園裡。,/ˈɒfn/,/ˈɒftən/
oh,（表示驚訝、失望和高興等情緒）噢，哎，唉，啊,exclamation,"""He's been married three times."" ""Oh, really? I didn't know that!""",「他結過三次婚。」「噢，真的嗎？我不知道這回事！」,/əʊ/,/əʊ/
oil,石油，原油,noun,drilling for oil,鑽探石油,/ɔɪl/,/ɔɪl/
OK,可以的，同意的；能接受的，可行的,exclamation,"""I'll pay you back tomorrow."" ""OK, no problem.""",「我明天還錢給你。」「好，沒問題。」,,
old,老的;年老的;古老的,adjective,an old man,老人,/əʊld/,/əʊld/
old-fashioned,舊式的;老式的;過時的;老派的,adjective,old-fashioned clothes/ideas/furniture,過時的衣服／觀點／傢俱,/ˌəʊld ˈfæʃnd/,/ˌəʊld ˈfæʃnd/
on,在…上面；到…上面,preposition,Look at all the books on your desk!,看看你書桌上這麼多書！,/ɒn/,/ɑːn/
once,一次，一回,adverb,"I went sailing once, but I didn't like it.",我玩過一次帆船，不過我不喜歡。,/wʌns/,/wʌns/
one,（數字）1,number,He had two slices and I only had one.,他有兩片，而我只有一片。,/wʌn/,/wʌn/
one another,互相，彼此,phrase,They gave one another presents when they met at the airport.,他們在機場見面時互贈了禮物。,,
onion,洋蔥（頭）,noun,I always cry when I'm chopping onions.,我切洋蔥的時候，總是被嗆得流眼淚。,/ˈʌnjən/,/ˈʌnjən/
online,（產品、服務或信息）聯網的，在線的，網上的,adjective,an online newspaper/magazine/dictionary,網上報紙／網絡雜誌／在線詞典,/ˌɒnˈlaɪn/,/ˌɑːnˈlaɪn/
only,唯一的，僅有的,adjective,I was the only person on the train.,我是火車上唯一的乘客。,/ˈəʊnli/,/ˈəʊnli/
onto,到…之上；向…之上；到，朝,preposition,I slipped as I stepped onto the platform.,我登上月臺的時候，滑了一跤。,/ˈɒntə/,/ˈɒntu/
open,開著的，未關的,adjective,an open door/window,開著的門／窗,/ˈəʊpən/,/ˈəʊpən/
opening,洞;孔;開口,noun,The children crawled through an opening in the fence.,孩子們從籬笆上的一個缺口裡爬了過去。,/ˈəʊpənɪŋ/,/ˈəʊpənɪŋ/
openly,公開地;坦率地，坦誠地;毫不隱諱地,adverb,They were openly contemptuous of my suggestions.,他們公然蔑視我的建議。,/ˈəʊpənli/,/ˈəʊpənli/
open up,打開（建築物的門）,phrasal verb,The caretaker opens up the school every morning at seven.,看門人每天早晨七時開學校大門。,,
operate,（使）工作，（使）運行;運作;操作;起作用,verb,How do you operate the remote control unit?,你是怎麼操作這個遙控器的？,/ˈɒpəreɪt/,/ˈɑːpəreɪt/
operation,運作，實施，工作,noun,There are several reactors of the type in operation (= working) at the moment.,目前有幾個這樣的反應堆在工作。,/ˌɒpəˈreɪʃn/,/ˌɑːpəˈreɪʃn/
opinion,意見，看法，主張,noun,What's your opinion about/on the matter?,你對這件事有甚麼看法？,/əˈpɪnjən/,/əˈpɪnjən/
opponent,反對者,noun,a political opponent,政敵,/əˈpəʊnənt/,/əˈpəʊnənt/
opportunity,機遇，時機，機會；可能性,noun,Everyone will have an opportunity to comment.,每個人都有機會發表意見。,/ˌɒpəˈtjuːnəti/,/ˌɑːpərˈtuːnəti/
oppose,反對;反抗;抵制,verb,The proposed new testing system has been vigorously opposed by teachers.,實行新考試制度的提議遭到教師們的強烈反對。,/əˈpəʊz/,/əˈpəʊz/
