Word,中文,詞性,例句,中文說明,EN,US
pack,（把…）打包，收拾（行李）,verb,"We're leaving early tomorrow morning, so you'd better pack (= put clothes and other possessions into suitcases or bags) tonight.",我們明天一大早就要出發，所以你最好今晚就收拾行李。,/pæk/,/pæk/
package,包裹,noun,The courier has just delivered a package for you.,送遞急件的信差剛剛送來一個包裹給你。,/ˈpækɪdʒ/,/ˈpækɪdʒ/
packaging,包裝材料,noun,All our packaging is biodegradable.,我們所有的包裝材料都是可生物降解的。,/ˈpækɪdʒɪŋ/,/ˈpækɪdʒɪŋ/
packet,小包，小盒，小袋,noun,a packet of cereal/biscuits/crisps/peanuts,一小袋麥片／餅乾／馬鈴薯片／花生米,/ˈpækɪt/,/ˈpækɪt/
pack up,（機器）停止轉動，出故障,phrasal verb,My camera has packed up.,我的相機出了毛病。,,
page,（書或報紙雜誌的）頁，面,noun,"For details on how to enter the competition, see page 134.",關於如何參加比賽的細則，請參見第134頁。,/peɪdʒ/,/peɪdʒ/
pain,（肉體上的）痛，疼痛,noun,Her symptoms included abdominal pain and vomiting.,她的症狀包括腹痛和嘔吐。,/peɪn/,/peɪn/
painful,令人痛苦的，引起痛苦的,adjective,The old photograph brought back painful memories.,這張老照片喚起了痛苦的回憶。,/ˈpeɪnfl/,/ˈpeɪnfl/
paint,油漆，塗料,noun,a tin of paint,一罐油漆,/peɪnt/,/peɪnt/
painter,油漆，塗料,noun,,,/ˈpeɪntə(r)/,/ˈpeɪntər/
painting,（使用顏料的）繪畫，油畫,noun,The walls are covered in oil paintings.,牆上掛滿了油畫。,/ˈpeɪntɪŋ/,/ˈpeɪntɪŋ/
pair,一對，一雙,noun,a pair of shoes/gloves,一雙鞋／一副手套,/peə(r)/,/per/
palace,宮殿,noun,a royal/presidential palace,王宮／總統官邸,/ˈpæləs/,/ˈpæləs/
pale,（臉色或膚色）蒼白的，白的,adjective,You're looking pale - are you feeling well?,你看起來臉色蒼白——你病了嗎？,/peɪl/,/peɪl/
panel,（選定的）專家小組,noun,The competition will be judged by a panel of experts.,這次競賽將由一個專家小組評審。,/ˈpænl/,/ˈpænl/
pants,內褲,noun,a pair of pants,一條長褲,/pænts/,/pænts/
paper,紙,noun,a piece/sheet of paper,一張紙,/ˈpeɪpə(r)/,/ˈpeɪpər/
parallel,平行的,adjective,Draw a pair of parallel lines.,畫兩條平行線。,/ˈpærəlel/,/ˈpærəlel/
parent,父親;母親,noun,I'm going to meet Richard's parents for the first time this weekend.,我這個週末將第一次見理查的父母。,/ˈpeərənt/,/ˈperənt/
park,公園,noun,Central Park,中央公園,/pɑːk/,/pɑːrk/
parliament,議會;國會,noun,On Tuesday the country's parliament voted to establish its own army.,該國議會於週二投票決定建立自己的軍隊。,/ˈpɑːləmənt/,/ˈpɑːrləmənt/
part,部分，局部,noun,Part of my steak isn't cooked properly.,我這塊牛排有些部分沒做好。,/pɑːt/,/pɑːrt/
particular,特定的，具體的,adjective,She wanted a particular type of cactus.,她要某一特定品種的仙人掌。,/pəˈtɪkjələ(r)/,/pərˈtɪkjələr/
particularly,特別，尤其，異乎尋常地,adverb,We're particularly interested to hear from people who speak two or more European languages.,我們特別希望能收到說兩種或以上歐洲語言的人的來信。,/pəˈtɪkjələli/,/pərˈtɪkjələrli/
partly,某種程度上,adverb,His attractiveness is partly due to his self-confidence.,他的魅力部分源於他的自信。,/ˈpɑːtli/,/ˈpɑːrtli/
partner,搭檔，夥伴，同伴,noun,He gave up his job as a police officer after his partner was killed.,他在搭檔被殺後辭去了警官的工作。,/ˈpɑːtnə(r)/,/ˈpɑːrtnər/
partnership,合夥關係，夥伴關係,noun,the John Lewis Partnership,約翰‧路易士合夥公司,/ˈpɑːtnəʃɪp/,/ˈpɑːrtnərʃɪp/
party,社交聚會,noun,a birthday party,生日會,/ˈpɑːti/,/ˈpɑːrti/
pass,經過，路過,verb,I passed him on the stairs this morning.,今天早上我在樓梯上與他擦肩而過。,/pɑːs/,/pæs/
passage,過道，走廊,noun,A narrow passage led directly through the house into the garden.,一條狹窄的通道直接從房子通向花園。,/ˈpæsɪdʒ/,/ˈpæsɪdʒ/
pass away,（禮貌的說法）去世,phrasal verb,She's terribly upset because her father passed away last week.,她非常難過，因為她父親上周去世了。,,
pass by,（某人）未從中獲益；與（某人）失之交臂,phrasal verb,Do you ever feel that life is passing you by?,你有時會不會覺得自己未受到生命的眷顧？,,
passenger,乘客，旅客,noun,airline/rail/train/car passengers,飛機／火車／汽車乘客,/ˈpæsɪndʒə(r)/,/ˈpæsɪndʒər/
passing,被問及是否已將此事告知警方時，班克斯先生說他曾向一位偵探順便提過。,noun,"When asked if he had told the police about the incident, Mr Banks said he had mentioned it in passing to a detective.",被問及是否已將此事告知警方時，班克斯先生說他曾向一位偵探順便提過。,/ˈpɑːsɪŋ/,/ˈpæsɪŋ/
pass on,（禮貌的說法）去世,phrasal verb,It's important to remember friends and family who have passed on.,紀念去世的家人和朋友是很重要的。,,
pass out,（因病痛、受傷或醉酒）昏迷，失去知覺,phrasal verb,I was hit on the head and passed out.,我的頭部被擊中，一下就昏過去了。,,
passport,護照,noun,Many refugees have arrived at the border without passports.,許多難民到達邊境時身上沒有護照。,/ˈpɑːspɔːt/,/ˈpæspɔːrt/
pass round,分發,phrasal verb,Could you do me a favour and pass these sandwiches around?,你能幫我把這些三明治分給大家嗎？,,
past,經過,preposition,"I live on Station Road, just past the post office.",我住在車站路，就在郵局過去一點。,/pɑːst/,/pæst/
path,路，小道，小徑,noun,a garden path,花園小路,/pɑːθ/,/pæθ/
patience,忍耐，耐心,noun,You have to have a lot of patience when you're dealing with kids.,最後我失去了耐性，對她大吼大叫起來。,/ˈpeɪʃns/,/ˈpeɪʃns/
patient,病人,noun,I'm a patient of Dr Stephens; please could I make an appointment to see her?,我是史蒂芬斯醫生的病人，請問我能不能預約一下看病時間？,/ˈpeɪʃnt/,/ˈpeɪʃnt/
pattern,方式，形式；模式,noun,The pattern of family life has been changing over recent years.,近年來家庭生活的模式一直在變化。,/ˈpætn/,/ˈpætərn/
pause,暫停,noun,There will be a brief pause in the proceedings while the piano is moved into place.,在將鋼琴搬過去放好之前，活動將暫停一會兒。,/pɔːz/,/pɔːz/
pay,付費;付酬,verb,How much did you pay for the tickets?,你買那些票花了多少錢？,/peɪ/,/peɪ/
pay back,償還（錢）;還（某人）錢,phrasal verb,Can you lend me a fiver? I'll pay you/it back tomorrow.,能借我五塊錢嗎？我明天還你。,,
payment,支付的金額,noun,Usually we ask for payment on receipt of the goods.,我們通常要求對方貨到付款。,/ˈpeɪmənt/,/ˈpeɪmənt/
