Word,中文,詞性,例句,中文說明,EN,US
race,賽跑，速度競賽,noun,Do you know who won/lost the race?,你知道比賽誰贏／輸了嗎？,/reɪs/,/reɪs/
racing,（速度）比賽,noun,"I enjoy cycling, but I'm not interested in racing.",我喜歡騎踏車，但是對自行車賽不感興趣。,/ˈreɪsɪŋ/,/ˈreɪsɪŋ/
radio,收音機,noun,a car radio,車載收音機,/ˈreɪdiəʊ/,/ˈreɪdiəʊ/
rail,鐵路交通；鐵路交通系統,noun,Environmentalists argue that more goods should be transported by rail.,環保主義者們主張應該更加充分利用鐵路來運輸貨物。,/reɪl/,/reɪl/
railroad,鐵路，鐵道,noun,We live close to the railroad line.,我們家離鐵道線很近。,/ˈreɪlrəʊd/,/ˈreɪlrəʊd/
railway,鐵路，鐵道,noun,We live close to the railway line.,我們家離鐵道線很近。,/ˈreɪlweɪ/,/ˈreɪlweɪ/
rain,雨;雨水,noun,Rain is forecast for tomorrow.,預報明天會下雨。,/reɪn/,/reɪn/
raise,舉起;抬起;提起,verb,Would all those in favour please raise their hands?,贊成的人請舉手好嗎？,/reɪz/,/reɪz/
range,（一）批;（一）類;（一）系列,noun,I offered her a range of options.,我給了她各種選擇。,/reɪndʒ/,/reɪndʒ/
rank,職位;官階;軍銜,noun,senior/high/junior/low rank,高／低級職位,/ræŋk/,/ræŋk/
rapid,快的；迅猛的,adjective,The 1990s were a period of rapid change/growth.,1990年代是一個迅猛突變／發展的時期。,/ˈræpɪd/,/ˈræpɪd/
rapidly,快速地，迅猛地,adverb,Things are changing very rapidly.,事情變化非常迅速。,/ˈræpɪdli/,/ˈræpɪdli/
rare,稀少的；罕見的；不常發生的,adjective,a rare disease/species,罕見疾病／稀有物種,/reə(r)/,/rer/
rarely,很少;不常見;難得,adverb,We rarely see each other now.,我們現在很少見面。,/ˈreəli/,/ˈrerli/
rate,率，比率;速率;速度;進度,noun,"Although she's recovering from her illness, her rate of progress is quite slow.",儘管病情正在好轉，但她康復的速度仍很慢。,/reɪt/,/reɪt/
rather,相當；有點，稍微,adverb,"It's rather cold today, isn't it?",今天相當冷，是不是？,/ˈrɑːðə(r)/,/ˈræðər/
raw,（食物）生的，未經烹調的，沒煮的,adjective,raw fish,生魚,/rɔː/,/rɔː/
re-,（尤用於商務信函中）關於，茲就，事涉,preposition,Re your communication of 15 February ...,茲就你2月15日來信…,,
reach,（尤指經過很長時間或費很大氣力旅行後）到達，抵達,verb,We won't reach Miami until five or six o'clock.,我們得五六點鐘才能到達邁阿密。,/riːtʃ/,/riːtʃ/
react,反應；作出回應,verb,"She slapped him and called him names, but he didn't react.",她打他並辱罵他，但他不予回應。,/riˈækt/,/riˈækt/
reaction,反應；回應,noun,I love to watch people's reactions when I say who I am.,我喜歡觀察人們在聽到我說出我是誰時的反應。,/riˈækʃn/,/riˈækʃn/
read,閱讀;看懂;讀到,verb,He spent a pleasant afternoon reading (the newspaper/a book).,他一下午都在閱讀（報紙／書），過得很開心。,/riːd/,/riːd/
reader,（尤指大量閱讀的）讀者，愛讀書的人,noun,He's a great/voracious reader (= reads many books).,他博覽群書。,/ˈriːdə(r)/,/ˈriːdər/
reading,讀，閱讀;讀書,noun,Reading and tennis are my favourite pastimes.,我最喜歡的業餘愛好就是讀書和打網球。,/ˈriːdɪŋ/,/ˈriːdɪŋ/
read out,宣讀;朗讀;大聲讀出,phrasal verb,He read out the names of all the winners.,他大聲宣讀所有獲勝者的名字。,,
