Word,中文,詞性,例句,中文說明,EN,US
sack,大布袋;麻袋;大紙袋;大塑膠袋,noun,The corn was stored in large sacks.,玉米裝在大麻袋裡。,/sæk/,/sæk/
sad,傷心的，悲哀的;令人難過的，令人遺憾的,adjective,I've just received some very sad news.,我剛剛得到一些令人傷心的消息。,/sæd/,/sæd/
sadly,傷心地，悲傷地,adverb,"""He's gone away for six months,"" she said sadly.",「他已經走了六個月了，」她傷心地說。,/ˈsædli/,/ˈsædli/
sadness,悲傷,noun,Her sadness at her grandfather's death was obvious.,她因祖父去世而顯然感到悲傷。,/ˈsædnəs/,/ˈsædnəs/
safe,安全的；沒有危險的,adjective,In some cities you don't feel safe going out alone at night.,在某些城市，夜晚獨自外出會覺得不安全。,/seɪf/,/seɪf/
safely,安全地，平安地；可靠地,adverb,We all arrived safely.,我們都安全到達。,/ˈseɪfli/,/ˈseɪfli/
safety,安全，平安,noun,"For your (comfort and) safety, we recommend you keep your seat belt loosely fastened during the flight.",爲了您的（舒適和）安全，我們建議您在飛行期間鬆鬆地繫住安全帶。,/ˈseɪfti/,/ˈseɪfti/
sail,（船）航行，行駛,verb,The boat sailed along/down the coast.,那艘船沿著海岸航行。,/seɪl/,/seɪl/
sailing,帆船運動,noun,the sailing club,帆船俱樂部,/ˈseɪlɪŋ/,/ˈseɪlɪŋ/
sailor,水手，船員,noun,I wasn't a good sailor at the best of times and the sea was very choppy that day.,,/ˈseɪlə(r)/,/ˈseɪlər/
salad,（通常用生菜等做成的）蔬菜沙拉,noun,Toss (= mix) the salad with a vinaigrette dressing.,用油醋醬調味料拌沙拉。,/ˈsæləd/,/ˈsæləd/
salary,薪資，薪水,noun,"an annual salary of £40,000",40000英鎊的年薪,/ˈsæləri/,/ˈsæləri/
sale,賣，出售，銷售,noun,The sale of cigarettes/alcohol is forbidden.,禁止出售香煙／酒。,/seɪl/,/seɪl/
salt,鹽，食鹽,noun,salt and pepper,鹽和胡椒粉,/sɔːlt/,/sɒlt/
salty,鹹的,adjective,This bacon is too salty for me.,這種熏肉對我來說太鹹了。,/ˈsɔːlti/,/ˈsɒlti/
same,相同的，同樣的,adjective,My twin sister and I have the same nose.,我孿生姐姐的鼻子和我的長得一樣。,/seɪm/,/seɪm/
sample,樣品,noun,a free sample of shampoo,免費的洗髮精試用包,/ˈsɑːmpl/,/ˈsæmpl/
sand,沙，沙子,noun,a grain of sand,一粒沙,/sænd/,/sænd/
satisfaction,滿足，滿意,noun,She looked at the finished painting with satisfaction.,她滿意地看著完成的畫作。,/ˌsætɪsˈfækʃn/,/ˌsætɪsˈfækʃn/
satisfied,滿足的;滿意的,adjective,Some people are never satisfied!,有些人永遠不會滿足！,/ˈsætɪsfaɪd/,/ˈsætɪsfaɪd/
satisfy,使滿足，使滿意,verb,They have 31 flavours of ice cream - enough to satisfy everyone!,他們有31種口味的霜淇淋——足以滿足所有人！,/ˈsætɪsfaɪ/,/ˈsætɪsfaɪ/
satisfying,令人滿意的，使人滿足的,adjective,a satisfying meal/result,令人滿意的一餐／令人滿意的結果,/ˈsætɪsfaɪɪŋ/,/ˈsætɪsfaɪɪŋ/
Saturday,星期六，週六,noun,He's leaving on Saturday.,他星期六出發。,,
sauce,調味汁，醬,noun,a savoury/sweet sauce,鹹／甜醬汁,/sɔːs/,/sɔːs/
save,挽救，搭救，救助,verb,Wearing seat belts has saved many lives.,繫安全帶挽救了許多人的生命。,/seɪv/,/seɪv/
saving,存款，儲蓄金,noun,He spent all his savings on an expensive car.,他花了自己所有的存款買了一輛昂貴的汽車。,/ˈseɪvɪŋ/,/ˈseɪvɪŋ/
say,說;講;陳述;表達;說明,verb,Small children find it difficult to say long words.,小孩子覺得長字不好說。,/seɪ/,/seɪ/
scale,尺度，刻度；等級,noun,the Centigrade/Fahrenheit scale,攝氏／華氏溫度,/skeɪl/,/skeɪl/
scare,（使）驚恐，（使）害怕;受驚嚇，感到害怕,verb,Sudden noises scare her.,突然的響聲把她嚇了一跳。,/skeə(r)/,/sker/
scared,驚恐的，恐懼的，害怕的,adjective,He's scared of spiders.,他害怕蜘蛛。,/skeəd/,/skerd/
scare off,把…嚇跑,phrasal verb,Don't make too much noise or you'll scare away the birds.,別發出那麽大聲音，會把鳥兒嚇跑的。,,
scene,場景，場面;鏡頭,noun,the funeral/wedding scene,葬禮／婚禮場景,/siːn/,/siːn/
schedule,計劃表;日程表;進度表,noun,a production schedule,生産進度表,/ˈʃedjuːl/,/ˈskedʒuːl/
scheme,陰謀，詭計,noun,He has a hare-brained/crazy scheme for getting rich before he's 20.,他有一個輕率的／瘋狂的計劃，讓自己在20歲前致富。,/skiːm/,/skiːm/
school,（中、小）學校,noun,a primary/secondary school,小／中學,/skuːl/,/skuːl/
science,科學;自然科學;科學知識,noun,pure/applied science,純／應用科學,/ˈsaɪəns/,/ˈsaɪəns/
scientific,科學的;應用科學方法的,adjective,a scientific discovery/experiment/theory,科學發現／實驗／理論,/ˌsaɪənˈtɪfɪk/,/ˌsaɪənˈtɪfɪk/
scientist,科學家,noun,a research/nuclear scientist,研究型／核子科學家,/ˈsaɪəntɪst/,/ˈsaɪəntɪst/
scissors,剪刀,noun,a pair of scissors,一把剪刀,/ˈsɪzəz/,/ˈsɪzərz/
score,（體育比賽、考試等中）得（分）,verb,Tennant scored in the last minute of the game.,在美式橄欖球中，攻方持球觸地就得六分。,/skɔː(r)/,/skɔːr/
scratch,抓；搔；擦；劃,verb,We scratched the wall trying to get the bed into Martha's room.,我們把床搬進瑪莎的房間裡時，把牆面給劃壞了。,/skrætʃ/,/skrætʃ/
scream,尖叫，驚呼,verb,A spider landed on her pillow and she screamed.,一隻蜘蛛爬上她的枕頭，她驚叫起來。,/skriːm/,/skriːm/
screen,螢幕,noun,Our television has a 19-inch screen.,我們的電視螢幕是19吋的。,/skriːn/,/skriːn/
screw,螺絲（釘）,noun,Give it another screw to make sure the lid doesn't come off while we're travelling.,把蓋子再擰緊一點，確保我們在路上時蓋子不會掉落。,/skruː/,/skruː/
sea,海，海洋,noun,the Mediterranean Sea,地中海,/siː/,/siː/
seal,海豹,noun,Clean the seal on/around the fridge door regularly so that it remains airtight.,定期清潔冰箱門上的密封條，可以使它保持密閉。,/siːl/,/siːl/
seal off,封鎖，隔離,phrasal verb,Two more bombs have been discovered since the police sealed off the area.,警察將這個地區封鎖後，又發現了兩枚炸彈。,,
search,搜查；搜索,verb,The police searched the woods for the missing boy.,員警在樹林中搜尋失蹤的男孩。,/sɜːtʃ/,/sɜːrtʃ/
season,季，季節,noun,How long does the dry/hurricane/monsoon season last?,旱／颶風／季風季要持續多久？,/ˈsiːzn/,/ˈsiːzn/
seat,座位; 座椅,noun,"Chairs, sofas and benches are different types of seat.",椅子、沙發和長凳是不同類型的座椅。,/siːt/,/siːt/
second,第二; 秒,,Is Carla her first or second child?,卡拉是她的第一個還是第二個孩子？,,
secondary,次要的,adjective,Her health is what matters - the cost of the treatment is of secondary importance.,她的健康是最重要的，治療費用是其次。,/ˈsekəndri/,/ˈsekənderi/
secret,秘密,noun,"Why did you have to go and tell Bob about my illness? You just can't keep a secret, can you?",你爲甚麽一定要跑去把我生病的事告訴鮑勃？你就是不能保守秘密，是嗎？,/ˈsiːkrət/,/ˈsiːkrət/
secretary,秘書,noun,My secretary will phone you to arrange a meeting.,我的秘書會打電話給你安排會議。,/ˈsekrətri/,/ˈsekrəteri/
