Word,中文,詞性,例句,中文說明,EN,US
table,桌子;枱;餐桌,noun,There was a really noisy table behind us celebrating someone's birthday.,我們後面的一桌人在給人慶祝生日，吵吵鬧鬧的。,/ˈteɪbl/,/ˈteɪbl/
tablet,藥片,noun,a sleeping tablet,一片安眠藥,/ˈtæblət/,/ˈtæblət/
tackle,對付，處理；與…交涉,verb,There are many ways of tackling this problem.,處理這個問題有許多辦法。,/ˈtækl/,/ˈtækl/
tail,尾巴；尾狀物,noun,The dog wagged its tail excitedly.,那隻狗興奮地搖著尾巴。,/teɪl/,/teɪl/
take,拿;奪取;取走,verb,Has anything been taken (= stolen)?,丟了甚麼東西嗎？,/teɪk/,/teɪk/
take away,拿走，移走,phrasal verb,Take these chairs away - we don't need them.,拿走這些子——我們用不著。,,
take back,退回（從商店裡購買的東西）,phrasal verb,Is it too small? Take it back and get a refund.,太小了嗎？那就把它退回吧。,,
take down,擊敗（某人）;殺死（某人）;阻止某人爲害,phrasal verb,"The Indiana Pacers took down Cleveland, 80–74.",印第安納步行者隊以80比74擊敗克利夫蘭隊。,,
take in,拿;奪取;取走,verb,Has anything been taken (= stolen)?,丟了甚麼東西嗎？,,
take off,脫下，脫掉（尤指衣服）,phrasal verb,He took off his clothes and got into the shower.,他脫掉衣服，開始洗淋浴。,,
take on,接受（工作）;承擔（責任）,phrasal verb,She took too much on and made herself ill.,她承擔的任務太重，結果病倒了。,,
take over,接任；接管，接手,phrasal verb,He took over from the previous headmaster in February.,他二月接手了前任校長的工作。,,
take up,佔據（地方或時間）,phrasal verb,This desk takes up too much room.,這張桌子太佔地方。,,
talk,講話，談話;談論,verb,We were just talking about Gareth's new girlfriend.,我們剛才在談論葛瑞的新女友。,/tɔːk/,/tɔːk/
tall,高的，高大的；有…高的,adjective,a tall girl,身材高挑的女孩,/tɔːl/,/tɔːl/
tank,（盛放液體或氣體的）容器,noun,a water tank,水箱,/tæŋk/,/tæŋk/
tap,（常指連續）輕拍，輕叩，輕敲,verb,The branches tapped against the window.,樹枝輕輕敲打著窗戶。,/tæp/,/tæp/
tape,磁帶;錄音帶;錄像帶,noun,magnetic tape,磁帶,/teɪp/,/teɪp/
target,靶，靶子;（攻擊、轟炸等的）目標,noun,I had four shots but I didn't even hit the target.,我開了四槍，可連靶子都沒打到。,/ˈtɑːɡɪt/,/ˈtɑːrɡɪt/
task,任務;（尤指經常、不情願或很難做的）工作;（苦）差事,noun,We usually ask interviewees to perform a few simple tasks on the computer just to test their aptitude.,我們通常讓接受面試人士在電腦上進行一些簡單操作，只想測測他們的能力。,/tɑːsk/,/tæsk/
taste,味道;味覺,noun,I love the taste of garlic.,我喜歡蒜味。,/teɪst/,/teɪst/
tax,稅;稅款,noun,They're increasing the tax on cigarettes.,他們要提高煙草稅。,/tæks/,/tæks/
taxi,計程車,noun,I took a taxi from the station to the hotel.,我從車站乘計程車去飯店。,/ˈtæksi/,/ˈtæksi/
tea,茶;茶葉,noun,China/Indian tea,中國／印度茶,/tiː/,/tiː/
teach,教;教授;傳授,verb,She taught English to foreign students.,她給外國學生講授英語。,/tiːtʃ/,/tiːtʃ/
teacher,教;教授;傳授,noun,,,/ˈtiːtʃə(r)/,/ˈtiːtʃər/
teaching,教師工作,noun,He's always wanted to go into teaching.,他一直想當老師。,/ˈtiːtʃɪŋ/,/ˈtiːtʃɪŋ/
team,隊，組，班,noun,a basketball/hockey/netball team,籃球隊／曲棍球隊／無擋板籃球隊,/tiːm/,/tiːm/
tear 1,（被）撕開，（被）撕掉，（被）撕裂,verb,I tore my skirt on the chair as I stood up.,我站起來時，裙子被椅子鈎破了。, /teər/ ,/ter/
tear 2,狂奔;疾馳;匆忙行動,verb,He went tearing along the road after the bus.,他在路上飛奔追趕公車,,
tear up,撕碎（紙張）,phrasal verb,He tore the letter up and threw it away.,他把信撕碎扔掉了。,,
technical,技術的,adjective,a few technical problems,幾個技術問題,/ˈteknɪkl/,/ˈteknɪkl/
technique,技術，技能,noun,We have developed a new technique for detecting errors in the manufacturing process.,我們開發了一項新技術，用於檢測生產流程中的錯誤。,/tekˈniːk/,/tekˈniːk/
technology,技術（學）;應用技術;（尤指）工業技術,noun,computer technology,電腦技術,/tekˈnɒlədʒi/,/tekˈnɑːlədʒi/
telephone,電話,noun,,,/ˈtelɪfəʊn/,/ˈtelɪfəʊn/
television,電視機;電視;電視廣播業,noun,a 3D/an HD television,3D／高清電視,/ˈtelɪvɪʒn/,/ˈtelɪvɪʒn/
tell,講述，說;告訴,verb,Tell me about your holiday then.,那麼跟我說說你的假期吧。,/tel/,/tel/
tell off,責備，斥責（某人）,phrasal verb,The teacher told me off for swearing.,我因罵人而被老師訓斥。,,
temperature,溫度;體溫,noun,Preheat the oven to a temperature of 200 degrees Celsius.,把爐子預熱到攝氏200度。,/ˈtemprətʃə(r)/,/ˈtemprətʃər/
temporarily,短暫地;暫時地，臨時地,adverb,This office is closed temporarily for redecoration.,這間辦公室因重新裝修而暫時關閉。,/ˈtemprərəli/,/ˌtempəˈrerəli/
temporary,短暫的;暫時的，臨時的,adjective,The ceasefire will only provide a temporary solution to the crisis.,停火只能暫時解決危機。,/ˈtemprəri/,/ˈtempəreri/
ten,（數字）10,number,Her father died ten years ago.,她的父親在十年前去世了。,/ten/,/ten/
tend,傾向;易於;往往會,verb,"We tend to get cold winters and warm, dry summers in this part of the country.",在我國這個地區，往往冬季寒冷而夏季溫暖乾燥。,/tend/,/tend/
tendency,（思想、行為等的）傾向,noun,His tendency to exaggerate is well known.,他喜歡誇張是出了名的。,/ˈtendənsi/,/ˈtendənsi/
tension,（精神上的）緊張，焦慮，焦急,noun,You could feel the tension in the room as we waited for our exam results.,我們等待考試結果出來的時候，你可以感覺到屋裡的緊張氣氛。,/ˈtenʃn/,/ˈtenʃn/
tent,帳篷,noun,,,/tent/,/tent/
