Word,中文,詞性,例句,中文說明,EN,US
vacation,（尤指出遊的）假期，休假,noun,We're taking a vacation in June.,我們六月份要去度假。,/veɪˈkeɪʃn/,/vəˈkeɪʃn/
valid,確鑿的；合理的；有根據的；讓人信服的,adjective,a valid argument/criticism/reason,令人信服的論據／批評／理由,/ˈvælɪd/,/ˈvælɪd/
valley,谷;山谷，溪谷,noun,the Nile Valley,尼羅河谷,/ˈvæli/,/ˈvæli/
valuable,值錢的，貴重的,adjective,These antiques are extremely valuable.,這些古董非常值錢。,/ˈvæljuəbl/,/ˈvæljuəbl/
value,價值;價格,noun,She had already sold everything of value that she possessed.,她已經把自己所有值錢的東西都賣了。,/ˈvæljuː/,/ˈvæljuː/
van,廂形貨車，有蓋小貨車,noun,a delivery van,送貨車,/væn/,/væn/
variation,變化；變動,noun,Unemployment rates among white-collar workers show much less regional variation than corresponding rates among blue-collar workers.,白領工作者的失業率與藍領工人相比，地區性差異要小得多。,/ˌveəriˈeɪʃn/,/ˌveriˈeɪʃn/
varied,各種各樣的；形形色色的,adjective,a varied group of people,形形色色的一群人,/ˈveərid/,/ˈverid/
variety,多樣化；變化,noun,"When planning meals, you need to think about variety and taste as well as nutritional value.",做飯時，你既需要考慮飯菜的營養價值，又需要考慮飯菜的花樣和味道。,/vəˈraɪəti/,/vəˈraɪəti/
various,各種不同的；各種各樣的,adjective,"We had various problems on our journey, including a flat tyre.",我們在旅途中遇到了各種各樣的問題，包括輪胎被紮破了。,/ˈveəriəs/,/ˈveriəs/
vary,（使）不同;（使）呈現差異,verb,Salary scales vary between states/from state to state/according to state/with each state.,工資高低各州／州與州／不同的州／每個州都不同。,/ˈveəri/,/ˈveri/
vast,巨大的；廣大的,adjective,A vast audience watched the broadcast.,大量的觀眾觀看了轉播。,/vɑːst/,/væst/
vegetable,蔬菜,noun,fresh/frozen vegetables,新鮮／冷凍蔬菜,/ˈvedʒtəbl/,/ˈvedʒtəbl/
vehicle,（陸上）交通工具；車輛；機動車,noun,A truck driver died last night when his vehicle overturned.,昨晚一輛卡車翻了車，司機死亡。,/ˈviːəkl/,/ˈviːəkl/
venture,（有風險的）企業;投機活動;商業冒險,noun,She advised us to look abroad for more lucrative business ventures.,她建議我們去國外尋找更有利可圖的商業機會。,/ˈventʃə(r)/,/ˈventʃər/
version,版本；說法,noun,The official version of events is that the police were attacked and were just trying to defend themselves.,事件的官方說法是員警受到了攻擊，他們只是想自衛。,/ˈvɜːʃn/,/ˈvɜːrʒn/
vertical,豎直的;垂直的;立式的,adjective,vertical lines/stripes,豎線／豎條紋,/ˈvɜːtɪkl/,/ˈvɜːrtɪkl/
very,（用於強調形容詞或副詞）很，非常,adverb,The situation is very serious.,形勢非常嚴峻。,/ˈveri/,/ˈveri/
via,經由，通過，透過,preposition,The London to Cairo flight goes via Rome.,報道透過衛星傳送進來。,/ˈvaɪə/,/ˈviːə/
victim,受害者;罹難者;犧牲者;犧牲品,noun,"to provide financial aid to hurricane/flood, etc. victims",為颶風／洪水等的受災者提供經濟援助,/ˈvɪktɪm/,/ˈvɪktɪm/
victory,勝利，獲勝；成功,noun,The Redskins opened the season by scoring a resounding/stunning/impressive 25–3 victory against/over Detroit.,賽季首場比賽紅人隊便以25比3的驚人比分大勝底特律隊。,/ˈvɪktəri/,/ˈvɪktəri/
video,錄影，錄影;錄影帶,noun,My new laptop handles video really well.,我的新筆記型電腦很適合播放錄影。,/ˈvɪdiəʊ/,/ˈvɪdiəʊ/
view,觀點;見解;看法,noun,Do you have any views about/on what we should do now?,對於我們現在該做甚麼你有甚麼看法？,/vjuː/,/vjuː/
