Word,中文,詞性,例句,中文說明,EN,US
wage,（尤指支付給體力勞動者並通常按週計算的）工資，工錢，報酬,noun,a very low/high wage,非常低／高的工資,/weɪdʒ/,/weɪdʒ/
waist,腰，腰部,noun,a small/narrow/tiny/large/thick waist,小／窄／極細的／寬／粗腰,/weɪst/,/weɪst/
wait,等待，等候;期盼，盼望,verb,I waited for her outside while she went in to see the doctor.,她進去看病時，我在外面等她。,/weɪt/,/weɪt/
waiter,等待，等候;期盼，盼望,noun,,,/ˈweɪtə(r)/,/ˈweɪtər/
wake,醒來;叫醒，吵醒,verb,Did you wake at all during the night?,夜裡你一點都沒醒嗎？,/weɪk/,/weɪk/
walk,走，步行，行走,verb,I walked home.,我走路回家的。,/wɔːk/,/wɔːk/
walking,走，步行，徒步旅行,noun,We're going walking in Wales for a week.,我們要去威爾士徒步旅行一週。,/ˈwɔːkɪŋ/,/ˈwɔːkɪŋ/
walk out,退場，退席,noun,,,,
walk up,走過來,noun,,,,
wall,走，步行，徒步旅行,noun,,,/wɔːl/,/wɔːl/
wallet,（尤指男士的）錢包，錢夾子,noun,"He pulled out a big, fat wallet stuffed with banknotes.",他掏出一個塞滿鈔票的鼓鼓囊囊的大錢包。,/ˈwɒlɪt/,/ˈwɑːlɪt/
wander,漫步;閒逛;遊蕩,verb,We spent the morning wandering around the old part of the city.,我們整個上午都在老城區閒逛。,/ˈwɒndə(r)/,/ˈwɑːndər/
want,想要，希望（英國英語中禮貌的請求不用 want）,verb,I want some chocolate.,我想要些巧克力。,/wɒnt/,/wɑːnt/
war,（國家或群體之間的）戰爭,noun,nuclear war,核戰爭,/wɔː(r)/,/wɔːr/
warm,溫暖的；暖和的,adjective,Are you warm enough or do you want me to put the heating on?,你暖不暖和，要不要我開暖氣？,/wɔːm/,/wɔːrm/
warmth,暖和，溫暖,noun,I've put a T-shirt on under my sweater for extra warmth.,我在毛衣裡穿了一件短袖衫，讓自己更暖和一些。,/wɔːmθ/,/wɔːrmθ/
warm up,變熱；（使）暖和；加熱,phrasal verb,The house soon warms up with the heating on.,暖氣一開，屋子裡很快就暖和起來了。,,
warn,警告;告誡;提醒,verb,We were warned not to eat the fish which might upset our stomachs.,我們被告誡不要吃那種魚，因為可能會導致胃部輕微不適。,/wɔːn/,/wɔːrn/
warning,警告;告誡;提醒,noun,"Completely without warning, he turned up at my door with all four children!",事先都沒說一聲，他就帶著全部四個孩子出現在我的門口！,/ˈwɔːnɪŋ/,/ˈwɔːrnɪŋ/
wash,洗，清洗，洗滌,verb,wash your hair/hands,洗你的頭／手,/wɒʃ/,/wɑːʃ/
wash away,（水或雨水）沖走，沖掉,phrasal verb,The blood on the pavement had been washed away by the rain overnight.,一夜之間，人行道上的血跡就被雨水沖掉了。,,
washing,洗衣服,noun,Machines make doing the washing easy.,機器使洗衣變得容易。,/ˈwɒʃɪŋ/,/ˈwɑːʃɪŋ/
wash off,（能用水）洗掉,phrasal verb,I don't know if this paint will wash off.,我不知道這種油漆是不是能洗掉。,,
wash out,洗掉，洗淨（顏色或汙跡）,phrasal verb,Do you think these stains will wash out?,你說這些汙跡洗得掉嗎？,,
wash up,清洗，洗刷（用過的餐具）,phrasal verb,He washed up his mug and put it back on the shelf.,他洗乾淨自己的杯子並把它放回架子上。,,
waste,浪費;濫用,noun,That meeting achieved absolutely nothing - it was a complete waste of time.,那次會議根本沒有取得甚麼成果——純粹是浪費時間。,/weɪst/,/weɪst/
watch,觀看;注視,verb,I had dinner and watched TV for a couple of hours.,我吃了飯，然後看了幾個小時電視。,/wɒtʃ/,/wɑːtʃ/
watch out,留意，尋找,idiom,Keep a watch out for Nicki and Steve - they should be here somewhere.,留意一下尼基和史提夫——他們應該在這一帶。,,
watch out for,留神，密切注意，關注,phrasal verb,"Watch out for his latest movie, out next month.",請密切留意他的新片，下個月就要上映了。,,
water,水,noun,a bottle/drink/glass of water,一瓶／份／杯水,/ˈwɔːtə(r)/,/ˈwɔːtər/
wave,揮（手）；招手，擺手（表示問候、指示或強調）,verb,I waved to/at him from the window but he didn't see me.,我從窗口向他招手，可他沒看見我。,/weɪv/,/weɪv/
way,路，道路；路線,noun,Do you know the way to the restaurant?,你知道去餐館怎麼走嗎？,/weɪ/,/weɪ/
we,（用作動詞的主語）我們,pronoun,Can we all go to the swimming pool this afternoon?,我們今天下午能都去游泳嗎？,/wi/,/wiː/
weak,（身體）虛弱的，無力的,adjective,It's not surprising you feel weak if you haven't eaten properly for days.,如果你幾天都沒有好好吃東西的話，覺得虛弱無力是很自然的。,/wiːk/,/wiːk/
weakness,虛弱；軟弱,noun,Any change of policy will be interpreted as a sign of weakness.,政策上的任何改變都會被當作是軟弱的表現。,/ˈwiːknəs/,/ˈwiːknəs/
wealth,財富，錢財,noun,"During a successful business career, she accumulated a great amount of wealth.",在成功的經商生涯中，她積累了巨額財富。,/welθ/,/welθ/
weapon,武器，兵器；兇器,noun,a lethal weapon,致命武器,/ˈwepən/,/ˈwepən/
wear,穿（衣服）;戴（首飾等）,verb,Tracey is wearing a simple black dress.,翠西身著一襲素淨的黑色長裙。,/weə(r)/,/wer/
wear away,（使）磨損，磨掉,phrasal verb,"In some diseases, the protective layer in a joint wears away.",患某些疾病時，關節處的保護層會受到磨損。,,
wear off,逐漸消失;消逝,phrasal verb,Most patients find that the numbness from the injection wears off after about an hour.,大多數病人發現注射產生的麻木感在一個小時左右以後會逐漸消失。,,
wear out,使（某人）筋疲力盡,phrasal verb,Walking around a museum all day really wears you out.,整天在博物館裡走來走去，真令人筋疲力盡。,,
weather,天氣；氣象,noun,bad/good/cold/dry/hot/stormy/warm/wet/etc. weather,壞／好／冷的／乾燥的／炎熱的／暴風雨／溫暖的／潮濕的天氣（等等）,/ˈweðə(r)/,/ˈweðər/
web,（蜘蛛）網,noun,We watched a spider spin a web between three tall grass stems.,我們注視著一隻蜘蛛在三根高高的草莖之間織了一張網。,/web/,/web/
website,網站，網址,noun,"For more information about other Cambridge publications and courses, visit our website at www.cambridge.org.",欲知劍橋大學出版社其他圖書及課程詳情，請訪問我們的網站 www.cambridge.org。,/ˈwebsaɪt/,/ˈwebsaɪt/
wedding,婚禮，結婚慶典,noun,a wedding cake/dress/invitation/present/reception,婚禮蛋糕／禮服／請柬／禮物／招待會,/ˈwedɪŋ/,/ˈwedɪŋ/
Wednesday,星期三,noun,Did you say the meeting is on Wednesday?,你是說會議在星期三開嗎？,,
week,星期，週（尤指從星期一到星期日或從星期日到星期六,noun,last/this/next week,上／本／下週,/wiːk/,/wiːk/
weekend,週末（週六和週日，有時也包括週五晚上）,noun,This/Next weekend we're going to see some friends.,本／下週末我們要去拜訪一些朋友。,/ˌwiːkˈend/,/ˈwiːkend/
weekly,每週一次的（地）,adjective,a weekly magazine/report,週刊雜誌／每週報告,/ˈwiːkli/,/ˈwiːkli/
weigh,有…重;稱…的重量,verb,Yesterday a satellite weighing 15 tons was successfully placed in orbit.,昨天一顆重15公噸的衛星被成功送入了軌道。,/weɪ/,/weɪ/
weight,重量，分量;體重,noun,What weight can this lorry safely carry?,這輛貨車的安全載重量是多少？,/weɪt/,/weɪt/
